feature,bucket,target,n,hit,base,edge,y2024,y2025,ci_lo,ci_hi,both_beat_base,n24,n25
pass>run ratio lean,up,game_total_UNDER,361,46.8,48.4,-1.6,45.6,47.8,42,52,False,160,201
pass>run ratio lean,up,spread_COVER,358,52.5,50.0,2.5,50.6,54.0,47,58,True,158,200
pass>run ratio lean,up,moneyline_WIN,361,44.0,50.0,-6.0,43.1,44.8,39,49,False,160,201
pass>run ratio lean,up,WR1_recyds_OVER,352,48.6,46.7,1.8,51.3,46.5,43,54,False,154,198
pass>run ratio lean,up,RB1_rushyds_OVER,357,52.7,48.6,4.0,50.3,54.5,47,58,True,157,200
pass>run ratio lean,up,QB_passyds_OVER,359,52.4,50.4,2.0,51.9,52.8,47,57,True,160,199
pass>run ratio lean,down,team_total_OVER,610,53.0,50.9,2.1,54.5,51.6,49,57,True,290,320
pass>run ratio lean,down,team_total_UNDER,610,46.6,48.6,-2.0,44.8,48.1,43,51,False,290,320
pass>run ratio lean,down,game_total_OVER,610,52.5,50.1,2.4,53.1,51.9,48,56,True,290,320
pass>run ratio lean,down,game_total_UNDER,610,45.6,48.4,-2.8,44.5,46.6,42,50,False,290,320
pass>run ratio lean,down,spread_COVER,602,49.2,50.0,-0.8,50.9,47.6,45,53,False,283,319
pass>run ratio lean,down,moneyline_WIN,608,56.7,50.0,6.7,57.2,56.3,53,61,True,290,318
pass>run ratio lean,down,WR1_recyds_OVER,598,45.5,46.7,-1.3,50.3,41.0,42,49,False,286,312
pass>run ratio lean,down,RB1_rushyds_OVER,603,48.3,48.6,-0.4,49.1,47.5,44,52,False,287,316
pass>run ratio lean,down,QB_passyds_OVER,604,49.2,50.4,-1.2,50.2,48.3,45,53,False,287,317
pass>run ratio lean,strong_up,team_total_OVER,244,51.2,50.9,0.4,47.3,54.5,45,57,False,110,134
pass>run ratio lean,strong_up,team_total_UNDER,244,47.5,48.6,-1.1,50.0,45.5,41,54,False,110,134
pass>run ratio lean,strong_up,game_total_OVER,244,51.2,50.1,1.2,51.8,50.7,45,57,True,110,134
pass>run ratio lean,strong_up,game_total_UNDER,244,47.1,48.4,-1.3,45.5,48.5,41,53,False,110,134
pass>run ratio lean,strong_up,spread_COVER,243,50.2,50.0,0.2,45.9,53.7,44,56,False,109,134
pass>run ratio lean,strong_up,moneyline_WIN,244,39.8,50.0,-10.2,36.4,42.5,34,46,False,110,134
pass>run ratio lean,strong_up,WR1_recyds_OVER,241,50.6,46.7,3.9,55.6,46.6,44,57,False,108,133
pass>run ratio lean,strong_up,RB1_rushyds_OVER,241,53.5,48.6,4.9,50.9,55.6,47,60,True,108,133
pass>run ratio lean,strong_up,QB_passyds_OVER,242,50.0,50.4,-0.4,48.2,51.5,44,56,False,110,132
pass>run ratio lean,strong_down,team_total_OVER,244,53.3,50.9,2.4,52.9,53.5,47,59,True,102,142
pass>run ratio lean,strong_down,team_total_UNDER,244,46.7,48.6,-1.9,47.1,46.5,41,53,False,102,142
pass>run ratio lean,strong_down,game_total_OVER,244,56.1,50.1,6.1,54.9,57.0,50,62,True,102,142
pass>run ratio lean,strong_down,game_total_UNDER,244,43.0,48.4,-5.4,45.1,41.5,37,49,False,102,142
pass>run ratio lean,strong_down,spread_COVER,242,48.8,50.0,-1.2,46.5,50.4,43,55,False,101,141
pass>run ratio lean,strong_down,moneyline_WIN,243,58.0,50.0,8.0,55.9,59.6,52,64,True,102,141
pass>run ratio lean,strong_down,WR1_recyds_OVER,239,46.4,46.7,-0.3,52.9,41.6,40,53,False,102,137
pass>run ratio lean,strong_down,RB1_rushyds_OVER,241,49.4,48.6,0.8,51.0,48.2,43,56,False,102,139
pass>run ratio lean,strong_down,QB_passyds_OVER,242,50.8,50.4,0.5,53.5,48.9,45,57,False,101,141
