id,start_date,season,season_type,week,neutral_site,home_team,home_conference,home_elo,home_talent,away_team,away_conference,away_talent,away_elo,spread,home_adjusted_epa,home_adjusted_epa_allowed,away_adjusted_epa,away_adjusted_epa_allowed,home_adjusted_rushing_epa,home_adjusted_rushing_epa_allowed,away_adjusted_rushing_epa,away_adjusted_rushing_epa_allowed,home_adjusted_passing_epa,home_adjusted_passing_epa_allowed,away_adjusted_passing_epa,away_adjusted_passing_epa_allowed,home_adjusted_success,home_adjusted_success_allowed,away_adjusted_success,away_adjusted_success_allowed,home_adjusted_standard_down_success,home_adjusted_standard_down_success_allowed,away_adjusted_standard_down_success,away_adjusted_standard_down_success_allowed,home_adjusted_passing_down_success,home_adjusted_passing_down_success_allowed,away_adjusted_passing_down_success,away_adjusted_passing_down_success_allowed,home_adjusted_line_yards,home_adjusted_line_yards_allowed,away_adjusted_line_yards,away_adjusted_line_yards_allowed,home_adjusted_second_level_yards,home_adjusted_second_level_yards_allowed,away_adjusted_second_level_yards,away_adjusted_second_level_yards_allowed,home_adjusted_open_field_yards,home_adjusted_open_field_yards_allowed,away_adjusted_open_field_yards,away_adjusted_open_field_yards_allowed,home_adjusted_explosiveness,home_adjusted_explosiveness_allowed,away_adjusted_explosiveness,away_adjusted_explosiveness_allowed,home_adjusted_rush_explosiveness,home_adjusted_rush_explosiveness_allowed,away_adjusted_rush_explosiveness,away_adjusted_rush_explosiveness_allowed,home_adjusted_pass_explosiveness,home_adjusted_pass_explosiveness_allowed,away_adjusted_pass_explosiveness,away_adjusted_pass_explosiveness_allowed,home_total_havoc_offense,home_front_seven_havoc_offense,home_db_havoc_offense,away_total_havoc_offense,away_front_seven_havoc_offense,away_db_havoc_offense,home_total_havoc_defense,home_front_seven_havoc_defense,home_db_havoc_defense,away_total_havoc_defense,away_front_seven_havoc_defense,away_db_havoc_defense,home_points_per_opportunity_offense,away_points_per_opportunity_offense,home_points_per_opportunity_defense,away_points_per_opportunity_defense,home_avg_start_offense,home_avg_start_defense,away_avg_start_offense,away_avg_start_defense
401761619,2025-10-04 22:00:00,2025,regular,6,False,Old Dominion,Sun Belt,1551,477.45,Coastal Carolina,Sun Belt,610.88,1259,-17.5,0.2420232998127751,0.11873505783585483,0.1040402997100627,0.16620775782130406,0.13969504461991206,0.11886176697558104,0.09525165966182067,0.1044296147013641,0.338302551175712,0.1499944867376934,0.1478271475965571,0.2519858600472032,0.4968221914652953,0.43717060090567267,0.35595911329041413,0.4352710231587659,0.5135290272229431,0.5038930302914711,0.4115409754363783,0.4953425271885151,0.3405042816943904,0.28085757389217714,0.30310530510431866,0.2996890389139236,3.151658188705733,3.0146168842993992,2.904016106045336,2.9871675383041834,1.1475189367515266,1.0889785315563434,1.114184438803157,1.0444997371028215,1.4713183991038614,1.1283563626740256,1.1598604593095951,1.1436067109103945,1.2398586123655997,1.1646960329600784,1.2601396609335,1.2255982950800437,0.9404578075627493,0.8802193597042538,0.9845118798014221,0.966978825796735,1.5654213120156817,1.5108877968774723,1.547281451412059,1.5211835939810467,0.15517241379310345,0.09770114942528736,0.05747126436781609,0.25136612021857924,0.14207650273224043,0.1092896174863388,0.17511520737327188,0.10599078341013825,0.06912442396313365,0.12244897959183673,0.06938775510204082,0.053061224489795916,3.933333333333333,3.1666666666666665,3.055555555555556,3.5384615384615383,72.0,73.3,71.1,69.0
401752729,2025-10-04 20:00:00,2025,regular,6,False,Oklahoma,SEC,1748,882.59,Kent State,SEC,456.24,859,-45.5,0.19667897008855378,0.08434651557176737,0.12273637267898879,0.2679675761861269,0.11412362913669741,0.07365294869072116,0.08463937297464869,0.1789205022436514,0.2666415657737655,0.15766943191382413,0.19155540144861818,0.3262531671912601,0.4853087021612173,0.29075257035627167,0.3590480837032106,0.5025350262235367,0.5173942962433695,0.40202595033629396,0.43044934652940886,0.5166046488159818,0.3166441615600343,0.242914946608793,0.26853055772129003,0.363168041263125,2.8142658665289777,2.525285011670591,2.635678060627711,3.1749633557418724,1.0632470736863562,0.9442971512593267,0.9644409301169751,1.1893341318163306,1.1418633426235176,1.2483426109545022,1.0466323438053795,1.5404559507976192,1.2331726562630527,1.2894464179855978,1.2831510660115226,1.2615996929364264,0.9780858791227736,1.0346885613415893,0.9902843611333847,1.035855094040465,1.5166003193267432,1.5526980109604505,1.5723334920334415,1.528565072613251,0.19718309859154928,0.11737089201877934,0.07981220657276995,0.1827956989247312,0.13440860215053763,0.04838709677419355,0.24157303370786518,0.19101123595505617,0.05056179775280899,0.09210526315789473,0.06140350877192982,0.03070175438596491,4.05,2.6666666666666665,2.3636363636363638,4.758620689655173,72.7,72.9,73.3,69.1
401761620,2025-10-04 20:00:00,2025,regular,6,False,Arkansas State,Sun Belt,1213,591.27,Texas State,Sun Belt,612.16,1590,12.5,0.06716197207690548,0.25026140389496265,0.24141284660869866,0.2332491978029331,0.053478387643090694,0.1666351256627184,0.18794798277578978,0.1763356826553373,0.12436160243017208,0.32681418058011924,0.2782283505298618,0.26743977096552624,0.3675317308319382,0.49966293802657025,0.47124600938506295,0.4319833274753126,0.4416090894878417,0.5320506575684734,0.5127561237917739,0.4699738624569917,0.2755314581710429,0.34538176593732367,0.32273397736390785,0.3344229287934413,2.829638579227458,2.9421404868314562,2.99518810004429,2.9150343913748684,1.001483118907874,1.1382363044736223,1.1320330600039166,1.1932977028142102,1.0341340473653133,1.531363513730701,1.4041501501244218,1.5525607981597795,1.2312676273528256,1.262473276019111,1.2580133669903313,1.2932744661346238,0.9298983867614198,1.0255241762299372,1.0322738603046249,1.082022328016096,1.535779084607002,1.532323877732584,1.541740499866524,1.54172584375194,0.2159468438538206,0.12956810631229235,0.08637873754152824,0.16666666666666666,0.10952380952380952,0.05714285714285714,0.13688212927756654,0.07224334600760456,0.06463878326996197,0.14009661835748793,0.09178743961352658,0.04830917874396135,2.7142857142857144,5.052631578947368,4.2592592592592595,4.555555555555555,71.2,73.3,71.6,71.6
401756914,2025-10-04 23:30:00,2025,regular,6,False,TCU,Big 12,1732,745.01,Colorado,Big 12,755.2,1618,-14.5,0.23280820802101967,0.16529906167696745,0.20117276197128595,0.18881506779100882,0.12363027998371387,0.07326023305665696,0.12113194780145049,0.11179407793699987,0.31768957404837006,0.2702369102495945,0.2764858887111392,0.2945397212154231,0.4323079803376404,0.3967066816615953,0.40742638663987285,0.46027864138405256,0.49083931908379075,0.4450798200116961,0.44206876798916456,0.5005186499958646,0.3064630818078908,0.3024185204433261,0.33943535410113684,0.31707898912521937,2.822907830334583,2.8581580364335983,2.9492714686483157,3.0152082815663133,1.0729060485486803,1.0567549433110053,1.1352166276070097,1.1346711784969472,1.3557147951675963,1.1340487174466864,1.342582278109477,1.4649353162262344,1.2903289812863346,1.263690191653472,1.2791769841197846,1.2443553625512032,0.9790313595697882,0.9674643188202082,1.0049677851254026,0.9966318278752848,1.5737988201653041,1.544177250521454,1.5559747262513501,1.5433251590429262,0.2028985507246377,0.11594202898550725,0.08695652173913043,0.15946843853820597,0.11627906976744186,0.04318936877076412,0.19072164948453607,0.12886597938144329,0.061855670103092786,0.15988372093023256,0.09011627906976744,0.06976744186046512,3.6315789473684212,5.35,3.411764705882353,3.4482758620689653,70.5,70.6,72.0,73.9
401754552,2025-10-04 16:00:00,2025,regular,6,False,North Carolina,ACC,1388,753.2,Clemson,ACC,918.43,1642,13.5,0.11796722813980068,0.1967292911739575,0.14580183110413034,0.1643469296386255,0.08011172244625117,0.11875515263674413,0.10325756814561753,0.07589954995740072,0.2012043409489925,0.2685241406307239,0.19914774974741162,0.2697450900723133,0.36832858725982714,0.4735533026958636,0.4293401239816665,0.4099776645593891,0.4426310266163994,0.5140134968314792,0.47825828574256485,0.4478536509074905,0.2833239437713729,0.3019785869238215,0.29315094378234163,0.33201056556780534,2.8190151674312007,2.7383593434719984,2.9911454085915463,2.8133408298032903,0.9919579359567973,0.9681059701398734,1.064991726694364,1.0624088213100726,1.0366941045982867,1.247396707067355,1.1254535806554533,1.092882098313705,1.2599485827139885,1.220038809673855,1.2224345605075082,1.2662017003681234,0.9721663879688163,0.9700857075115322,0.9260798850244738,0.9639313350928086,1.5523655201161097,1.5023257857662564,1.5180065017785511,1.5612064107184755,0.1901840490797546,0.13496932515337423,0.05521472392638037,0.12840466926070038,0.05058365758754864,0.07782101167315175,0.12135922330097088,0.06796116504854369,0.05339805825242718,0.17753623188405798,0.10144927536231885,0.07608695652173914,3.3636363636363638,3.4285714285714284,3.388888888888889,2.8461538461538463,67.2,72.9,72.8,70.2
401754553,2025-10-04 23:30:00,2025,regular,6,False,Florida State,ACC,1564,828.45,Miami,ACC,874.57,1852,5.5,0.27669114751411655,0.11855928290580112,0.20247120075824182,0.11844190424909734,0.22861023624071736,0.08157115762227432,0.11465823039536686,0.07756035392121977,0.2780519183846913,0.19196918674752161,0.2929740597696008,0.19339786085334304,0.5021955160735339,0.38344305252624994,0.4676242322015241,0.36527275743308446,0.5393100125194107,0.4559182588474933,0.5067230106848355,0.45032019551548347,0.3260417775953125,0.29173734848617305,0.2974301555333314,0.2799620782268834,3.3173086337084805,2.8836279350532337,2.98145283013022,2.7793925941272755,1.2141572712621576,0.9793622273786111,1.0021277211987871,0.9671076439331701,1.4735753009685066,1.039094648146412,1.0579873285020578,1.1261838034533314,1.2715015932831821,1.244150969331898,1.224839373488039,1.234125311220657,1.0365887507090508,0.9410776390812328,0.9405810282627578,0.9491147009169569,1.558425151229763,1.5419954611781277,1.5346632238167761,1.5329112644889893,0.1111111111111111,0.0787037037037037,0.032407407407407406,0.09090909090909091,0.0430622009569378,0.04784688995215311,0.1485148514851485,0.0891089108910891,0.0594059405940594,0.17318435754189945,0.10614525139664804,0.0670391061452514,5.0,4.904761904761905,4.230769230769231,4.4,68.2,71.6,67.9,75.0
401760383,2025-10-05 02:30:00,2025,regular,6,False,Fresno State,Mountain West,1510,586.84,Nevada,Mountain West,488.69,1257,-13.5,0.15660851514785962,0.20153595300992613,0.10784800851632192,0.19579496583261982,0.06345578933949983,0.10147574704365604,0.11521956843680199,0.15640877273466572,0.34552086906386903,0.2955958764321999,0.12259105395553044,0.2255601698861729,0.42713198117848544,0.42269459937766324,0.36710429091653424,0.47236458007745363,0.4618546557971517,0.47687955627892914,0.43442309122700384,0.5263793553724956,0.34595612696576744,0.3119205582349366,0.2968114545372409,0.29339068303871335,2.768461668641116,2.9744902673327234,2.813874465573437,2.9513377850659936,1.0761791974936414,1.114711790394637,1.0849344205510576,1.1085261101453214,1.3858503763060428,1.0857651363584753,1.3855965334950242,1.0944971315624161,1.2471063442345212,1.2563280574807085,1.2606351693681361,1.189559924710626,0.991901331571295,0.9313448420790985,1.0081421629534397,0.9714452320515664,1.5325634063888938,1.551255261508984,1.541859110299845,1.4665658120753495,0.189873417721519,0.13924050632911392,0.05063291139240506,0.20441988950276244,0.13812154696132597,0.06629834254143646,0.1310344827586207,0.06206896551724138,0.06896551724137931,0.13270142180094788,0.08530805687203792,0.04739336492890995,3.4,2.1333333333333333,4.238095238095238,4.473684210526316,65.0,73.8,71.3,73.8
401760385,2025-10-04 23:00:00,2025,regular,6,False,Wyoming,Mountain West,1326,489.33,UNLV,Mountain West,700.54,1622,6.0,0.10723676525001129,0.16901648579957498,0.2063946727130719,0.16516123349241263,0.05924467937018628,0.14585445523890708,0.11506308406809419,0.12524680634162338,0.21966626166649242,0.20663850528106437,0.3116360180531592,0.23058839591973587,0.3622765100332937,0.43846004300411323,0.43459285275951726,0.46088947463640567,0.44716928325108546,0.49515266943788094,0.49521326007297894,0.4979043889519101,0.268589889093064,0.3037539251211412,0.30360676468237885,0.3124793603251451,2.7846301918964866,3.160271426109231,2.8352410820377116,2.945321549044138,1.0157914933489338,1.2014529350473762,1.0752316529475305,1.1404829196782778,1.1121628216806263,1.331701623895898,1.32652447916919,1.3217520061000982,1.2482496335125486,1.238489339253538,1.2589366819951866,1.2585915489461166,0.9601361320355536,0.9619532414615465,0.9859663027067672,0.9854690385115815,1.5513438054920692,1.5402043665168719,1.5448513232056387,1.5357321839846458,0.16417910447761194,0.07960199004975124,0.0845771144278607,0.17204301075268819,0.11290322580645161,0.05913978494623656,0.08571428571428572,0.04285714285714286,0.04285714285714286,0.16326530612244897,0.09693877551020408,0.0663265306122449,2.7272727272727275,5.266666666666667,3.25,3.7777777777777777,76.5,70.7,70.7,71.7
401760384,2025-10-04 02:00:00,2025,regular,6,False,San José State,Mountain West,1423,522.91,New Mexico,Mountain West,378.8,1426,-2.5,0.15581197852336265,0.1965266466929722,0.16493468512701215,0.149508230129546,0.0661985351648192,0.08256597179712041,0.04719013672152496,0.11954253834678717,0.25414455992201274,0.320929480794112,0.338003905115868,0.1890059531917232,0.41346006762986404,0.4382121145473903,0.43187807978290654,0.4053885790151828,0.4706395593351248,0.49876319524070334,0.4832422439235886,0.4575910036141093,0.3072272758533312,0.28666126944473475,0.3009625694604977,0.30417597275877206,2.9257539721188834,2.9321801654746618,2.9374591884290804,2.9340676782214197,1.0549187077821316,1.0581482832454092,0.9870540670261942,0.9963353034535751,1.1212793972777466,1.1701967102917756,1.2595233875550267,1.2736703540685044,1.2346011352924036,1.2453572533741726,1.229649834074199,1.2583430383574163,0.8899597576256452,0.9169876375858496,0.8991653808350636,0.9754147930085281,1.5332183797621484,1.5613155440235593,1.5488177686586144,1.5389090316073282,0.18867924528301888,0.07547169811320754,0.11320754716981132,0.13170731707317074,0.08292682926829269,0.04878048780487805,0.13705583756345177,0.08121827411167512,0.05583756345177665,0.21739130434782608,0.09782608695652174,0.11956521739130435,2.3157894736842106,4.611111111111111,3.7142857142857144,3.125,72.4,70.5,69.4,71.9
401752855,2025-10-04 19:30:00,2025,regular,6,False,UCLA,Big Ten,1331,766.62,Penn State,Big Ten,910.42,2070,25.0,0.18820543777684845,0.23667163886778592,0.20198551533118447,0.14685852442458336,0.15500376286826362,0.1575782276577693,0.14124814504488825,0.084033452875101,0.23242628946632093,0.32344838927811354,0.25549774644311884,0.2399954482170005,0.436869834285664,0.48838958000061244,0.44029752280201273,0.3996682359060851,0.4894506200191932,0.5210663653747575,0.5018492426407505,0.4719533619023197,0.30286831191142066,0.34448611157061765,0.2814580673086172,0.27133512756304773,3.0448767927077616,3.204218715007979,2.9628872140533957,2.839992585239895,1.107408414681124,1.1067302802315158,0.9915579900344823,1.0420464486582142,1.2701117002675841,1.1916523354447572,1.1537618910513165,1.0607782468676545,1.2248828219546655,1.1937080094301487,1.2293395298007048,1.217657834686956,1.0239707495412675,0.9091348419531815,0.9928260025161325,0.93427900401392,1.4790181947525312,1.5445011543795213,1.5067156554844634,1.524923492504771,0.15086206896551724,0.07758620689655173,0.07327586206896551,0.10330578512396695,0.05785123966942149,0.045454545454545456,0.09689922480620156,0.06976744186046512,0.027131782945736434,0.13385826771653545,0.09055118110236221,0.04330708661417323,3.111111111111111,4.421052631578948,5.0,2.4545454545454546,78.3,70.5,63.7,76.9
