season,week,home_team,away_team,total_line,tot,h_keyrec,a_keyrec,h_def,a_def,off_trigger,def_trigger,over_play,over
2018,5,HOU,DAL,45.0,35.0,0.0,0.0,0.61,0.74,0,0,0,0.0
2018,5,NYJ,DEN,42.0,50.0,0.0,0.0,0.86,0.0,0,0,0,1.0
2018,5,DET,GB,50.0,54.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2018,5,KC,JAX,48.0,44.0,0.0,0.0,0.0,0.61,0,0,0,0.0
2018,5,SEA,LA,50.5,64.0,0.0,0.0,0.515,0.0,0,0,0,1.0
2018,5,CIN,MIA,47.5,44.0,0.0,0.0,0.0,1.4900000000000002,0,0,0,0.0
2018,5,PHI,MIN,48.0,44.0,0.0,0.0,0.6033333333333334,1.5116666666666667,0,1,1,0.0
2018,5,CAR,NYG,43.5,64.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2018,5,LAC,OAK,52.0,36.0,0.0,0.0,0.7,0.08,0,0,0,0.0
2018,5,BUF,TEN,38.0,25.0,0.0,0.0,0.0,1.9766666666666666,0,0,0,0.0
2018,5,NO,WAS,51.5,62.0,1.0,0.0,0.0,0.0,1,0,1,1.0
2018,6,NYG,PHI,45.5,47.0,0.0,0.0,0.0,1.215,0,0,0,1.0
2018,6,MIN,ARI,43.5,44.0,0.0,0.0,2.005,0.0,0,1,1,1.0
2018,6,TEN,BAL,43.5,21.0,0.0,0.0,1.22,0.27,0,0,0,0.0
2018,6,HOU,BUF,40.5,33.0,0.0,0.0,0.61,0.0,0,0,0,0.0
2018,6,WAS,CAR,44.5,40.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,6,MIA,CHI,40.5,59.0,0.0,0.0,0.5066666666666667,0.05,0,0,0,1.0
2018,6,NYJ,IND,47.5,76.0,0.0,1.0,1.5499999999999998,2.1625,1,1,1,1.0
2018,6,DAL,JAX,39.5,47.0,0.0,0.0,0.88,0.62,0,0,0,1.0
2018,6,NE,KC,59.5,83.0,0.0,0.0,0.0,1.8725,0,0,0,1.0
2018,6,CLE,LAC,47.0,52.0,0.0,0.0,0.0,1.1625,0,0,0,1.0
2018,6,DEN,LA,50.0,43.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,6,CIN,PIT,49.5,49.0,0.0,0.0,0.0,0.485,0,0,0,0.0
2018,6,OAK,SEA,47.5,30.0,0.0,0.0,0.5525,0.515,0,0,0,0.0
2018,6,ATL,TB,57.5,63.0,0.0,0.0,1.1533333333333333,0.1,0,0,0,1.0
2018,6,GB,SF,46.5,63.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2018,7,ARI,DEN,42.5,55.0,0.0,0.0,0.978,0.9003333333333333,0,0,0,1.0
2018,7,IND,BUF,43.5,42.0,0.0,0.0,1.805,0.0,0,0,0,0.0
2018,7,PHI,CAR,45.0,38.0,0.0,0.0,1.427,0.0,0,0,0,0.0
2018,7,KC,CIN,56.0,55.0,0.0,0.0,0.8825,1.6460000000000001,0,1,1,0.0
2018,7,TB,CLE,52.5,49.0,0.0,0.0,1.5775,1.3425,0,1,1,0.0
2018,7,WAS,DAL,40.5,37.0,0.0,0.0,0.0,0.14,0,0,0,0.0
2018,7,MIA,DET,47.0,53.0,0.0,0.0,0.825,0.0,0,0,0,1.0
2018,7,JAX,HOU,43.0,27.0,0.0,0.0,0.61,1.165,0,0,0,0.0
2018,7,SF,LA,52.0,49.0,0.0,0.0,0.52,0.0,0,0,0,0.0
2018,7,NYJ,MIN,45.0,54.0,0.0,0.0,2.55,1.77,0,1,1,1.0
2018,7,CHI,NE,49.0,69.0,0.0,0.0,0.05,0.0,0,0,0,1.0
2018,7,BAL,NO,49.0,47.0,0.0,0.0,0.0,0.3866666666666667,0,0,0,0.0
2018,7,LAC,TEN,46.0,39.0,0.0,0.0,0.7,0.82,0,0,0,0.0
2018,7,ATL,NYG,52.0,43.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,8,HOU,MIA,45.0,65.0,0.0,1.0,1.165,0.385,1,0,1,1.0
2018,8,CAR,BAL,44.0,57.0,0.0,0.0,0.22200000000000003,0.9119999999999999,0,0,0,1.0
2018,8,PIT,CLE,47.5,51.0,0.0,0.0,0.0,1.3425,0,0,0,1.0
2018,8,KC,DEN,53.0,53.0,0.0,0.0,0.8825,1.2986666666666666,0,1,1,
2018,8,LA,GB,57.0,56.0,0.0,0.0,0.03,0.0,0,0,0,0.0
2018,8,OAK,IND,51.0,70.0,0.0,0.0,0.0,1.331,0,0,0,1.0
2018,8,MIN,NO,53.5,50.0,0.0,0.0,1.995,0.0,0,0,0,0.0
2018,8,CHI,NYJ,42.5,34.0,0.0,0.0,0.0,0.86,0,0,0,0.0
2018,8,JAX,PHI,44.5,42.0,0.0,0.0,2.0366666666666666,1.427,0,1,1,0.0
2018,8,DET,SEA,47.5,42.0,0.0,0.0,0.0,0.004,0,0,0,0.0
2018,8,ARI,SF,40.0,33.0,0.0,0.0,0.978,0.0,0,0,0,0.0
2018,8,CIN,TB,55.0,71.0,0.0,0.0,2.3310000000000004,1.5775,0,1,1,1.0
2018,8,NYG,WAS,43.0,33.0,0.0,0.0,1.0,0.0,0,0,0,0.0
2018,8,BUF,NE,44.0,31.0,0.0,0.0,0.5683333333333334,0.5166666666666667,0,0,0,0.0
2018,9,SF,OAK,44.0,37.0,0.0,0.0,2.240857142857143,0.0,0,1,1,0.0
2018,9,WAS,ATL,46.5,52.0,0.0,0.0,0.0,0.9899999999999999,0,0,0,1.0
2018,9,BUF,CHI,38.0,50.0,0.0,0.0,0.5683333333333334,0.0,0,0,0,1.0
2018,9,MIN,DET,47.0,33.0,0.0,0.0,0.995,0.2416666666666667,0,0,0,0.0
2018,9,NE,GB,56.0,48.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,9,DEN,HOU,46.5,36.0,0.0,0.0,2.640952380952381,0.8671428571428572,0,1,1,0.0
2018,9,CLE,KC,51.0,58.0,0.0,0.0,1.0,0.19,0,0,0,1.0
2018,9,SEA,LAC,48.5,42.0,0.0,0.0,0.004,0.9483333333333333,0,0,0,0.0
2018,9,NO,LA,57.5,80.0,0.0,0.0,0.455,0.0,0,0,0,1.0
2018,9,MIA,NYJ,43.5,19.0,0.0,0.0,0.46699999999999997,0.89,0,0,0,0.0
2018,9,BAL,PIT,47.0,39.0,0.0,0.0,0.29666666666666663,0.0,0,0,0,0.0
2018,9,CAR,TB,55.5,70.0,0.0,0.0,0.0,0.62,0,0,0,1.0
2018,9,DAL,TEN,40.0,42.0,0.0,0.0,0.6000000000000001,0.6,0,0,0,1.0
2018,10,PIT,CAR,51.0,73.0,0.0,0.0,0.11714285714285715,0.0,0,0,0,1.0
2018,10,KC,ARI,49.5,40.0,0.0,0.0,0.0,0.6699999999999999,0,0,0,0.0
2018,10,CLE,ATL,49.5,44.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,10,NYJ,BUF,38.0,51.0,0.0,0.0,0.0,0.5683333333333334,0,0,0,1.0
2018,10,PHI,DAL,45.5,47.0,0.0,0.0,1.629142857142857,1.8546428571428573,0,1,1,1.0
2018,10,CHI,DET,44.5,56.0,0.0,0.0,0.0,1.1295238095238096,0,0,0,1.0
2018,10,IND,JAX,48.0,55.0,0.0,0.0,0.835,1.0066666666666666,0,0,0,1.0
2018,10,OAK,LAC,50.0,26.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,10,GB,MIA,48.5,43.0,0.0,0.0,0.8300000000000001,0.385,0,0,0,0.0
2018,10,TEN,NE,47.0,44.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,10,CIN,NO,53.0,65.0,1.0,0.0,2.3310000000000004,0.455,1,1,1,1.0
2018,10,LA,SEA,51.0,67.0,0.0,0.0,0.0,0.004,0,0,0,1.0
2018,10,TB,WAS,51.0,19.0,0.0,0.0,1.346,0.0,0,0,0,0.0
2018,10,SF,NYG,45.0,50.0,0.0,0.0,1.928,0.0,0,0,0,1.0
2018,11,SEA,GB,49.0,51.0,0.0,0.0,0.855,2.2675,0,1,1,1.0
2018,11,DET,CAR,48.0,39.0,1.0,0.0,0.4757142857142857,0.0,1,0,1,0.0
2018,11,BAL,CIN,44.0,45.0,0.0,1.0,0.29666666666666663,2.0033333333333334,1,1,1,1.0
2018,11,ATL,DAL,50.0,41.0,0.0,0.0,0.0,2.585892857142857,0,1,1,0.0
2018,11,LAC,DEN,47.0,45.0,0.0,0.0,0.9014285714285714,0.810952380952381,0,0,0,0.0
2018,11,WAS,HOU,40.5,44.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2018,11,CHI,MIN,44.0,45.0,0.0,0.0,0.0,1.0,0,0,0,1.0
2018,11,ARI,OAK,41.0,44.0,0.0,0.0,0.98875,0.0,0,0,0,1.0
2018,11,NO,PHI,56.5,55.0,0.0,0.0,0.455,1.948392857142857,0,1,1,0.0
2018,11,JAX,PIT,47.0,36.0,0.0,0.0,0.006666666666666667,0.7637499999999999,0,0,0,0.0
2018,11,NYG,TB,54.5,73.0,0.0,0.0,0.0,3.33725,0,1,1,1.0
2018,11,IND,TEN,50.0,48.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,11,LA,KC,63.5,105.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2018,12,NO,ATL,61.0,48.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,12,DET,CHI,43.0,39.0,1.0,0.0,0.0,0.48777777777777775,1,0,1,0.0
2018,12,DAL,WAS,40.0,54.0,0.0,0.0,1.1175,0.0,0,0,0,1.0
