TOTAL ATS singles+2-way passers: 104
DISTINCT underlying trends (after collapsing identical game-sets): 100

 dir rule                                              n  pool%  beat  right  per-season cover%
BACK road_dog & monday                                87  55.2  5/8   6/8   2018:55 2019:60 2020:67 2021:50 2022:64 2023:73 2024:38 2025:42
FADE home_fav & monday                                87  55.2  5/8   6/8   2018:55 2019:60 2020:67 2021:50 2022:64 2023:73 2024:38 2025:42
FADE off_bye & off_noncover                          116  55.2  5/8   6/8   2018:53 2019:62 2020:53 2021:59 2022:27 2023:50 2024:86 2025:47
FADE off_bye & good_form_l3>0                        106  54.7  5/8   6/8   2018:47 2019:50 2020:54 2021:71 2022:53 2023:67 2024:45 2025:55
FADE thursday & good_form_l3>0                        90  54.4  5/8   6/8   2018:33 2019:67 2020:60 2021:50 2022:67 2023:40 2024:60 2025:60
FADE monday & good_form_l3>0                         103  54.4  5/8   6/8   2018:50 2019:54 2020:40 2021:71 2022:83 2023:57 2024:44 2025:53
FADE home_fav & blowout_loss_last                    138  54.3  5/8   6/8   2018:59 2019:60 2020:67 2021:50 2022:60 2023:48 2024:53 2025:47
FADE letdown & div_game                              328  54.3  5/8   6/8   2018:64 2019:61 2020:53 2021:53 2022:50 2023:49 2024:61 2025:48
FADE fav & blowout_loss_last                         220  54.1  5/8   6/8   2018:61 2019:62 2020:62 2021:45 2022:52 2023:53 2024:57 2025:45
FADE win_streak>=2 & div_revenge                      89  53.9  5/8   6/8   2018:40 2019:50 2020:62 2021:64 2022:54 2023:57 2024:67 2025:25
BACK home_fav & third_home                            91  53.8  5/8   6/8   2018:36 2019:60 2020:62 2021:27 2022:57 2023:73 2024:50 2025:56
FADE letdown & pr_better>=3                          342  53.8  5/8   6/8   2018:61 2019:61 2020:54 2021:53 2022:48 2023:52 2024:60 2025:43
BACK blowout_win_last & monday                        56  53.6  5/8   6/8   2018:40 2019:60 2020:60 2021:57 2022:20 2023:57 2024:71 2025:50
BACK lookahead & monday                               75  57.3  5/7   5/7   2018:57 2019:80 2020:40 2021:43 2023:67 2024:80 2025:57
FADE home_dog & cover_streak>=3                       55  54.5  5/7   5/7   2018:60 2019:71 2020:38 2022:43 2023:62 2024:56 2025:71
FADE road_fav & off_bye                               52  53.8  5/7   5/7   2018:38 2019:40 2020:67 2021:57 2023:60 2024:56 2025:62
BACK pre_bye & blowout_loss_last                      49  57.1  4/6   6/6   2018:57 2019:50 2020:60 2023:60 2024:50 2025:57
FADE home_dog & good_form_l3>0                       139  54.7  4/8   8/8   2018:64 2019:58 2020:50 2021:59 2022:50 2023:60 2024:50 2025:50
BACK road_dog & div_game                             469  53.7  4/8   8/8   2018:50 2019:58 2020:56 2021:52 2022:59 2023:50 2024:53 2025:51
FADE home_fav & div_game                             469  53.7  4/8   8/8   2018:50 2019:58 2020:56 2021:52 2022:59 2023:50 2024:53 2025:51
FADE home_fav & bad_form_l3<0                        286  54.9  4/8   7/8   2018:51 2019:55 2020:67 2021:49 2022:63 2023:50 2024:53 2025:52
BACK long_rest>=10 & win_streak>=3                    99  54.5  4/8   7/8   2018:50 2019:47 2020:50 2021:58 2022:50 2023:70 2024:57 2025:57
BACK long_rest>=10 & div_revenge                      49  61.2  4/7   6/7   2018:50 2019:33 2020:71 2022:50 2023:86 2024:80 2025:71
FADE home_dog & blowout_win_last                      67  53.7  4/7   6/7   2018:57 2019:62 2020:50 2021:57 2023:67 2024:50 2025:40
FADE off_bye & blowout_win_last                       51  60.8  4/6   5/6   2018:33 2019:67 2020:60 2022:64 2024:100 2025:50
BACK road_fav & pre_bye                               59  57.6  4/6   5/6   2018:60 2019:43 2021:50 2022:90 2023:71 2025:60
BACK pre_bye & primetime                              61  60.7  4/8   6/8   2018:38 2019:75 2020:50 2021:33 2022:83 2023:71 2024:88 2025:50
BACK pre_bye & pr_worse<=-3                           81  55.6  4/8   6/8   2018:50 2019:67 2020:62 2021:29 2022:50 2023:56 2024:38 2025:75
FADE letdown & div_revenge                            85  55.3  4/8   6/8   2018:50 2019:62 2020:44 2021:58 2022:46 2023:50 2024:73 2025:57
BACK big_dog>=7 & win_streak>=2                       64  54.7  4/8   6/8   2018:50 2019:40 2020:40 2021:62 2022:71 2023:67 2024:50 2025:67
BACK home_fav & lookahead                            348  54.6  4/8   6/8   2018:50 2019:58 2020:39 2021:53 2022:45 2023:64 2024:52 2025:71
BACK dog & lookahead                                 463  54.2  4/8   6/8   2018:58 2019:65 2020:60 2021:43 2022:63 2023:52 2024:50 2025:49
FADE blowout_win_last & good_form_l3>0               563  53.6  4/8   6/8   2018:61 2019:51 2020:49 2021:57 2022:53 2023:60 2024:50 2025:49
BACK third_home & pr_better>=3                        51  54.9  4/7   5/7   2018:60 2019:71 2021:38 2022:38 2023:67 2024:57 2025:50
FADE short_week & pr_better>=3                        72  54.2  4/7   5/7   2018:0 2019:55 2021:54 2022:80 2023:42 2024:50 2025:80
BACK short_week & pr_worse<=-3                        72  54.2  4/7   5/7   2018:0 2019:55 2021:54 2022:80 2023:42 2024:50 2025:80
BACK pre_bye & win_streak>=3                          50  54.0  4/7   5/7   2018:40 2019:57 2020:50 2021:44 2022:60 2024:67 2025:60
BACK short_week & win_streak>=2                       65  53.8  4/7   5/7   2018:75 2019:40 2021:50 2022:43 2023:75 2024:56 2025:54
BACK lookahead & line_toward_team                    126  64.3  3/3   3/3   2023:72 2024:53 2025:67
BACK rest_edge>=3 & monday                            44  56.8  3/4   4/4   2019:50 2022:71 2023:57 2025:75
FADE rest_edge<=-3 & monday                           44  56.8  3/4   4/4   2019:50 2022:71 2023:57 2025:75
BACK cover_streak>=2 & line_toward_team              122  54.9  3/3   3/3   2023:56 2024:56 2025:53
BACK dog & win_streak>=3                             204  55.4  3/8   7/8   2018:67 2019:47 2020:65 2021:59 2022:52 2023:50 2024:52 2025:52
FADE monday & bad_form_l3<0                           86  54.7  3/8   6/8   2018:30 2019:67 2020:77 2021:50 2022:42 2023:50 2024:64 2025:50
FADE cover_streak>=2 & thursday                       60  55.0  3/7   5/7   2018:33 2019:75 2021:50 2022:50 2023:43 2024:80 2025:56
BACK pre_bye & monday                                 38  63.2  2/4   4/4   2020:50 2023:67 2024:100 2025:50
BACK div_game & line_toward_team                     171  57.3  2/3   3/3   2023:50 2024:64 2025:57
FADE div_game & line_away_team                       171  57.3  2/3   3/3   2023:50 2024:64 2025:57
BACK good_form_l3>0 & line_toward_team               187  56.7  2/3   3/3   2023:52 2024:60 2025:57
FADE blowout_loss_last & line_away_team              128  53.9  2/3   3/3   2023:52 2024:59 2025:51
FADE bad_form_l3<0 & line_away_team                  198  53.5  2/3   3/3   2023:53 2024:56 2025:51
FADE rest_edge>=3 & cover_streak>=3                   44  59.1  2/5   4/5   2018:50 2019:67 2021:50 2022:20 2024:62
BACK rest_edge>=3 & div_revenge                       41  58.5  2/5   4/5   2018:50 2019:33 2022:50 2023:86 2025:60
BACK big_dog>=7 & monday                              42  54.8  2/5   4/5   2020:67 2021:50 2022:50 2023:75 2024:40
FADE big_fav<=-7 & monday                             42  54.8  2/5   4/5   2020:67 2021:50 2022:50 2023:75 2024:40
FADE short_week & letdown                             50  56.0  2/4   3/4   2019:71 2021:50 2024:67 2025:45
