season,week,leg1,leg2,l1_won,l2_won,l1_score,l2_score,l1_bucket,l2_bucket,l1_sig,l2_sig,l1_sharp,l2_sharp,combo,both
2024,1,GB@PHI spread/AWAY/-2.5->-8.5,PIT@ATL total/OVER/+41->+35,1,0,0.8320512820512821,0.8143137254901961,0.782051282051282,0.7843137254901961,1,0,0,1,spread+total,0
2024,2,NYG@WAS spread/AWAY/-2.5->-8.5,PIT@DEN spread/HOME/+3->+9,1,1,0.8320512820512821,0.7976767676767677,0.782051282051282,0.7676767676767676,1,0,0,1,spread+spread,1
2024,3,GB@TEN spread/AWAY/-2->-8,NYG@CLE spread/AWAY/-6.5->-12.5,1,1,0.9265517241379311,0.8648148148148148,0.896551724137931,0.8148148148148148,0,1,1,0,spread+spread,1
2024,4,KC@LAC spread/HOME/+4->+10.25,BUF@BAL spread/AWAY/-2->-7.75,1,0,0.9966666666666667,0.9465517241379311,0.9666666666666667,0.896551724137931,0,1,1,0,spread+spread,0
2024,5,NO@KC spread/AWAY/-6.5->-12.5,TB@ATL spread/AWAY/-3->-9,0,1,0.8448148148148148,0.8300000000000001,0.8148148148148148,0.75,0,1,1,1,spread+spread,0
2024,6,TB@NO spread/AWAY/-2.5->-8.5,JAX@CHI total/OVER/+42.5->+36.5,1,1,0.8620512820512821,0.833921568627451,0.782051282051282,0.803921568627451,1,0,1,1,spread+total,1
2024,7,SEA@ATL spread/AWAY/-2.5->-8.5,TEN@BUF spread/HOME/-8->-2,1,1,0.8620512820512821,0.8277777777777778,0.782051282051282,0.7777777777777778,1,1,1,0,spread+spread,1
2024,8,ATL@TB spread/AWAY/-2->-8,TEN@DET spread/HOME/-9.5->-3.5,1,1,0.9765517241379311,0.9371428571428572,0.896551724137931,0.8571428571428571,1,1,1,1,spread+spread,1
2024,9,TB@KC spread/HOME/-9.5->-3.5,JAX@PHI spread/AWAY/-6.5->-12.5,1,1,0.8871428571428571,0.8648148148148148,0.8571428571428571,0.8148148148148148,0,1,1,0,spread+spread,1
2024,10,DEN@KC spread/HOME/-9.5->-3.5,CIN@BAL total/UNDER/+50->+56,0,0,0.8871428571428571,0.8481818181818183,0.8571428571428571,0.8181818181818182,0,0,1,1,spread+total,0
2024,11,LAR@NE spread/AWAY/+6->-0.25,MIN@TEN spread/AWAY/+6->+0,1,1,0.8721052631578947,0.8721052631578947,0.8421052631578947,0.8421052631578947,0,0,1,1,spread+spread,1
2024,12,BAL@LAC spread/HOME/+3->+9,TEN@HOU total/OVER/+42.5->+36.5,1,1,0.8476767676767677,0.833921568627451,0.7676767676767676,0.803921568627451,1,0,1,1,spread+total,1
2024,13,PIT@CIN spread/AWAY/-2->-7.75,LAC@ATL spread/AWAY/+1.5->-4.5,1,1,0.9265517241379311,0.8178787878787879,0.896551724137931,0.7878787878787878,0,0,1,1,spread+spread,1
2024,14,SEA@ARI spread/AWAY/-2->-8.25,LAC@KC spread/AWAY/-4->-10.25,1,1,0.9265517241379311,0.8474418604651164,0.896551724137931,0.7674418604651163,0,1,1,1,spread+spread,1
2024,15,KC@CLE spread/AWAY/+6->+0.25,NE@ARI spread/AWAY/-6.5->-12.5,1,0,0.8721052631578947,0.8448148148148148,0.8421052631578947,0.8148148148148148,0,0,1,1,spread+spread,0
2024,16,TEN@IND total/OVER/+42.5->+36.5,LAR@NYJ spread/HOME/+3->+9,1,0,0.833921568627451,0.8176767676767677,0.803921568627451,0.7676767676767676,0,1,1,0,spread+total,0
2024,17,SEA@CHI spread/HOME/+2->+8,KC@PIT spread/HOME/+2->+8.25,1,0,0.9060869565217392,0.9060869565217392,0.8260869565217391,0.8260869565217391,1,1,1,1,spread+spread,0
2024,18,BUF@NE total/OVER/+41->+34.75,KC@DEN spread/HOME/-8->-2,1,1,0.8143137254901961,0.8077777777777778,0.7843137254901961,0.7777777777777778,0,0,1,1,spread+total,1
2024,19,MIN@LAR spread/HOME/+3->+9,PIT@BAL spread/AWAY/-5->-11,1,0,0.8476767676767677,0.8300000000000001,0.7676767676767676,0.75,1,1,1,1,spread+spread,0
