pick_id,season,week,home_ab,away_ab,source,pick,bet_line,open_total,close_total,total_move,tier,move_contradicts,won,actual_total,pnl_110
2025-W05-HOU@BAL-S1-OVER,2025,5,BAL,HOU,S1_cross_book,OVER,40.833333333333336,40.5,41.0,-5.0,1,True,1,54,0.9090909090909091
2025-W06-LAR@BAL-S2-UNDER,2025,6,BAL,LAR,S2_form_under_mid,UNDER,45.0,45.0,44.0,-1.0,2,False,1,20,0.9090909090909091
2025-W16-NE@BAL-S1-UNDER,2025,16,BAL,NE,S1_cross_book,UNDER,48.5,48.5,48.5,0.5,1,True,0,52,-1.0
2025-W14-PIT@BAL-S1-OVER,2025,14,BAL,PIT,S1_cross_book,OVER,43.333333333333336,43.5,43.5,-4.0,1,True,1,49,0.9090909090909091
2025-W05-NE@BUF-S1-UNDER,2025,5,BUF,NE,S1_cross_book,UNDER,49.333333333333336,49.0,49.0,0.0,2,False,1,43,0.9090909090909091
2025-W11-TB@BUF-S1-UNDER,2025,11,BUF,TB,S1_cross_book,UNDER,46.166666666666664,47.0,45.5,-5.0,2,False,0,76,-1.0
2025-W15-CLE@CHI-S1-UNDER,2025,15,CHI,CLE,S1_cross_book,UNDER,38.333333333333336,38.5,38.0,-2.0,2,False,1,34,0.9090909090909091
2025-W07-PIT@CIN-S2-UNDER,2025,7,CIN,PIT,S2_form_under_mid,UNDER,43.0,43.0,45.0,2.0,1,True,0,64,-1.0
2025-W14-TEN@CLE-S1-UNDER,2025,14,CLE,TEN,S1_cross_book,UNDER,33.5,33.5,33.5,-1.0,2,False,0,60,-1.0
2025-W09-ARI@DAL-S1-UNDER,2025,9,DAL,ARI,S1_cross_book,UNDER,53.833333333333336,54.0,53.5,1.0,1,True,1,44,0.9090909090909091
2025-W07-TB@DET-S1-UNDER,2025,7,DET,TB,S1_cross_book,UNDER,54.5,53.5,54.0,1.0,1,True,1,33,0.9090909090909091
2025-W17-BAL@GB-S1-OVER,2025,17,GB,BAL,S1_cross_book,OVER,37.75,37.5,37.5,-9.0,1,True,1,65,0.9090909090909091
2025-W17-JAX@IND-S2-UNDER,2025,17,IND,JAX,S2_form_under_mid,UNDER,45.5,45.5,48.5,3.0,1,True,1,40,0.9090909090909091
2025-W01-MIA@IND-S1-OVER,2025,1,IND,MIA,S1_cross_book,OVER,46.5,46.5,47.0,0.0,2,False,0,41,-1.0
2025-W19-BUF@JAX-S1-UNDER,2025,19,JAX,BUF,S1_cross_book,UNDER,51.5,51.5,51.25,-0.25,2,False,1,51,0.9090909090909091
2025-W03-HOU@JAX-S1-UNDER,2025,3,JAX,HOU,S1_cross_book,UNDER,43.5,43.5,43.5,0.25,1,True,1,27,0.9090909090909091
