pick_id,season,week,home_ab,away_ab,source,pick,bet_line,open_total,close_total,total_move,tier,move_contradicts,won,actual_total,pnl_110
2025-W06-SEA@JAX-S2-UNDER,2025,6,JAX,SEA,S2_form_under_mid,UNDER,45.0,45.0,47.5,2.5,1,True,1,32,0.9090909090909091
2025-W17-DEN@KC-S1-UNDER,2025,17,KC,DEN,S1_cross_book,UNDER,38.0,38.0,38.0,-1.5,2,False,1,33,0.9090909090909091
2025-W06-DET@KC-S1-UNDER,2025,6,KC,DET,S1_cross_book,UNDER,51.666666666666664,51.5,51.5,2.5,1,True,1,47,0.9090909090909091
2025-W17-HOU@LAC-S1-UNDER,2025,17,LAC,HOU,S1_cross_book,UNDER,41.0,41.0,40.75,1.25,1,True,1,36,0.9090909090909091
2025-W04-IND@LAR-S2-UNDER,2025,4,LAR,IND,S2_form_under_mid,UNDER,46.5,46.5,49.5,3.0,1,True,0,47,-1.0
2025-W12-TB@LAR-S1-OVER,2025,12,LAR,TB,S1_cross_book,OVER,49.333333333333336,49.5,49.5,0.0,2,False,0,41,-1.0
2025-W17-NYG@LV-S1-UNDER,2025,17,LV,NYG,S1_cross_book,UNDER,40.5,40.5,40.25,-2.25,2,False,0,44,-1.0
2025-W04-NYJ@MIA-S2-UNDER,2025,4,MIA,NYJ,S2_form_under_mid,UNDER,44.5,44.5,44.0,-0.5,2,False,0,48,-1.0
2025-W10-BAL@MIN-S2-UNDER,2025,10,MIN,BAL,S2_form_under_mid,UNDER,46.5,46.5,49.0,2.5,1,True,1,46,0.9090909090909091
2025-W17-DET@MIN-S1-UNDER,2025,17,MIN,DET,S1_cross_book,UNDER,44.5,44.5,44.5,-4.0,2,False,1,33,0.9090909090909091
2025-W18-MIA@NE-S1-UNDER,2025,18,NE,MIA,S1_cross_book,UNDER,44.5,,44.5,-1.0,2,False,0,48,-1.0
2025-W11-NYJ@NE-S1-UNDER,2025,11,NE,NYJ,S1_cross_book,UNDER,43.166666666666664,43.0,43.0,-2.5,2,False,1,41,0.9090909090909091
2025-W11-NYJ@NE-S2-UNDER,2025,11,NE,NYJ,S2_form_under_mid,UNDER,45.5,45.5,43.0,-2.5,2,False,1,41,0.9090909090909091
2025-W03-PIT@NE-S1-UNDER,2025,3,NE,PIT,S1_cross_book,UNDER,44.5,44.5,44.5,1.75,1,True,1,35,0.9090909090909091
2025-W12-ATL@NO-S1-OVER,2025,12,NO,ATL,S1_cross_book,OVER,40.5,40.5,41.0,0.5,2,False,0,34,-1.0
2025-W06-PHI@NYG-S1-OVER,2025,6,NYG,PHI,S1_cross_book,OVER,40.5,40.5,41.0,-1.5,1,True,1,51,0.9090909090909091
2025-W07-CAR@NYJ-S2-UNDER,2025,7,NYJ,CAR,S2_form_under_mid,UNDER,44.5,44.5,40.0,-4.5,2,False,1,19,0.9090909090909091
2025-W17-NE@NYJ-S2-UNDER,2025,17,NYJ,NE,S2_form_under_mid,UNDER,43.5,43.5,42.0,-1.5,2,False,0,52,-1.0
2025-W15-LV@PHI-S1-UNDER,2025,15,PHI,LV,S1_cross_book,UNDER,37.5,37.5,37.5,-2.0,2,False,1,31,0.9090909090909091
2025-W08-NYG@PHI-S1-UNDER,2025,8,PHI,NYG,S1_cross_book,UNDER,43.5,43.0,43.5,1.0,1,True,0,58,-1.0
2025-W11-CIN@PIT-S1-UNDER,2025,11,PIT,CIN,S1_cross_book,UNDER,48.5,49.0,48.0,-2.0,2,False,1,46,0.9090909090909091
2025-W15-IND@SEA-S2-UNDER,2025,15,SEA,IND,S2_form_under_mid,UNDER,46.0,46.0,41.5,-4.5,2,False,1,34,0.9090909090909091
2025-W03-IND@TEN-S1-UNDER,2025,3,TEN,IND,S1_cross_book,UNDER,43.5,43.5,43.5,0.5,1,True,0,61,-1.0
2025-W12-SEA@TEN-S2-UNDER,2025,12,TEN,SEA,S2_form_under_mid,UNDER,42.5,42.5,41.5,-1.0,2,False,0,54,-1.0
2025-W09-SEA@WAS-S1-UNDER,2025,9,WAS,SEA,S1_cross_book,UNDER,47.666666666666664,47.5,47.5,1.0,1,True,0,52,-1.0
