market,n,mae_model,mae_line,corr_model,corr_line,b_line,c_model,t_line,t_model
player_assists,40500,1.53011139976151,1.5391728395061728,0.6956846123634751,0.6996650980269954,0.5752349216386302,0.40625202677250094,28.944525099451543,19.821251933453038
player_blocks,34722,0.6148985754624914,0.6802459535741029,0.45330803904576517,0.4003150766523447,0.28595557956517226,0.7094303057430574,15.79003780608074,47.33147296292568
player_points,43743,4.976294205240224,4.9139462313970235,0.6872433980403108,0.6954902966455856,0.7871762076189078,0.1723260695274933,31.806475553169353,6.677610989565691
player_points_assists,38735,5.487573231422529,5.423041177229895,0.7262284742768307,0.7337989302415067,0.799019361656645,0.16785932759525649,31.119419864057402,6.3164566161294315
player_points_rebounds,40968,5.88131955804122,5.817162175356375,0.6899503325850017,0.6980323623092395,0.7881409594211959,0.1774206281590198,30.684817866213823,6.661422628148581
player_points_rebounds_assists,42801,6.256278581585931,6.192215135160393,0.7343129728177772,0.7405203916406443,0.7713812582372053,0.1976802482128715,30.42147332352963,7.5341991528842485
player_rebounds,42902,2.0145112130082135,2.012429490466645,0.6683885576923932,0.6732115427752822,0.6170424755343391,0.35667409876202893,27.25197368359731,15.240293949208517
player_rebounds_assists,38187,2.8051725196911272,2.778956189279074,0.6698650337139739,0.6793900615435611,0.7864952870216328,0.19221958860877666,31.12249361472136,7.474449303369792
player_steals,26519,0.8192709715218023,0.8583279912515555,0.2623862319704425,0.24534625440028932,0.28230670346722875,0.5201175155852864,16.11832965834782,22.551853847513474
player_threes,38686,1.1169733960416137,1.1390425476916715,0.45630362996059015,0.44708797746100193,0.3779220720187887,0.5735286528460984,20.668082271776807,28.955109750429603
