phase,feature,rule,market,disc_n,disc_roi,disc_z,val_n,val_roi,val_excess,val_z
stretch,h_km_7d,h_km_7d >= 4068,fg_total_over,333,4.345763847231865,2.3134155,381,8.736445009708405,7.635275274515152,1.5640423
all,st_both_done,st_both_done == 1,tt_home_over,127,12.80355304479599,2.2845623,272,4.683446884155273,8.915486931800842,1.5488826
early,d_d5_opp,d_d5_opp < 0,fg_total_under,128,10.369495302438736,2.2060735,134,1.173041295260191,12.691622972488403,1.5428922
gp25,a_s2d_own,a_s2d_own >= 119.3,fg_ml_home,175,12.478196620941162,2.2937284,219,2.055424451828003,10.472626984119415,1.5109093
mid,h_l10_opp,h_l10_opp <= 112,fg_ml_fav,272,8.50408747792244,2.3756785,315,-1.5661174431443214,5.9276483952999115,1.5096097
postdl,a_adj_def,a_adj_def <= 111.7,h1_spread_away,120,12.603220343589783,2.0310442,242,3.3909711986780167,9.225885570049286,1.5028827
late,h_l10_gtot_vs_line,h_l10_gtot_vs_line >= 4.8,fg_ml_away,187,17.26648658514023,2.0250807,174,13.111183047294617,15.295448899269104,1.4879737
all,d_d5_oum,d_d5_oum >= 8.383,tt_home_under,202,7.394958287477493,2.0249634,441,0.7086971774697304,6.695257127285004,1.4802356
gp25,d_d5_oum,d_d5_oum >= 13.7,fg_total_under,165,12.231408059597015,2.1310515,147,5.200738832354546,11.646035313606262,1.4792577
all,a_l10_oum,a_l10_oum < 0,tt_home_under,484,4.134877771139145,2.3818762,974,-1.4947930350899696,4.491766542196274,1.4758455
all,h_d3_over,h_d3_over <= -0.209,fg_spread_fav,465,9.623772650957108,2.9894528,503,0.9494997560977936,6.263693422079086,1.4715226
all,a_l10_h1t,a_l10_h1t >= 119.8,fg_total_under,434,6.8915508687496185,2.5552654,379,0.27897905092686415,7.2122059762477875,1.4711131
early,h_d3_cover,h_d3_cover > 0,fg_ml_home,142,17.12023913860321,2.283372,143,11.418543756008148,12.242376804351807,1.4710099
stretch,h_l3_gtot_vs_line,h_l3_gtot_vs_line <= -9.167,fg_ml_home,232,11.850605905056,2.7329326,224,-1.465968880802393,9.564843773841858,1.4539454
