key,family,phase,market,note,n,win,base_win,edge,roi,base_roi,z,seasons_pos,by_season,disc_roi,disc_n,val_roi,val_n,search_p,tier
m9_predl_tank_fav,deadline,all,fg_spread_fav,CONTROL: the same flag BEFORE the deadline,308,58.76623376623377,50.04071661237784,8.725517153855922,12.192510877799217,-4.457086968606994,3.0607640827550684,4,+15/+3/+23/+8,8.748991264814055,158,15.819684870143591,150,0.03,TRACK
m6_dead_and_tired_over,load,gp50,fg_total_over,,170,60.0,51.0351966873706,8.9648033126294,14.545762795897717,-2.563142643408296,2.337307161088884,3,+54/+3/+10/-1,28.15598911489323,73,4.303015153767072,97,0.265,TRACK
m9_postdl_tank_fav,deadline,postdl,fg_spread_fav,,308,58.76623376623377,52.41801000555865,6.34822376067512,12.192510877799217,0.07031412728364284,2.231343385896101,4,+15/+3/+23/+8,8.748991264814055,158,15.819684870143591,150,0.325,TRACK
m6_dead_and_tired_fav,load,gp50,fg_spread_fav,,170,60.588235294117645,52.650727650727646,7.937507643389996,15.670040699722307,0.5148460130207324,2.0729916940522735,4,+17/+8/+23/+14,12.477185422390905,73,18.07291116616758,97,0.465,TRACK
m10_final2wk_fav,fatigue,all,fg_spread_fav,,274,56.20437956204379,50.04071661237784,6.163662949665949,7.321895576619928,-4.457086968606994,2.0423671179469274,3,-13/+4/+16/+24,-4.548273646406014,140,19.72356491410972,134,0.4875,TRACK
m10_final2wk_over,fatigue,all,fg_total_over,,273,56.776556776556774,50.70193285859613,6.074623917960642,8.384296647614482,-3.2059075332328733,2.006412718850703,4,+5/+12/+16/+1,8.493607366721271,139,8.27090717033207,134,0.5125,TRACK
m2_alive_h1_fav,half,gp50,h1_spread_fav,exactly one side is done,368,55.97826086956522,50.83333333333333,5.144927536231892,6.75994695769913,-3.0685445062226737,1.9776232265600466,3,  ./+1/+4/+15,1.3127000826326012,122,9.46142711525245,246,0.5325,-
m5_tank_late_fav,depth,veryLate,fg_spread_fav,,265,58.867924528301884,53.64635364635365,5.221570881948234,12.377426698441072,2.419143989773119,1.702748995160322,4,+10/+2/+34/+4,5.9095864752799105,137,19.30003693729325,128,0.7825,WATCH
m10_final2wk_tt_over,fatigue,all,tt_home_over,,201,56.21890547263681,50.48701298701299,5.731892485623824,6.3486085948384865,-4.85574382284728,1.6830162897679644,3,  ./+11/+1/+8,10.776905633783027,68,4.084516875678875,133,0.81,-
m8_bigline_h1_fav,half,all,h1_spread_fav,"the 1H spread is scaled off the full-game one, but a blowout builds late",1116,52.32974910394266,49.87728388328333,2.452465220659322,-0.2969953527196132,-4.932817992431052,1.6248604197675087,1,  ./-1/+0/-0,-0.9428184923129073,342,-0.011631639876064397,774,0.855,-
m9_justafter_dl_dog,deadline,all,fg_spread_dog,,444,53.6036036036036,49.95928338762215,3.64432021598145,2.3736369649160056,-4.565055487379154,1.5307451890088941,2,-11/-2/+15/+7,-6.311463679319916,218,10.751300418205522,226,0.9,-
m7_bigfav_a_tt_over,teamtotal,all,tt_away_over,,443,54.85327313769752,51.392268180589355,3.4610049571081714,3.6683444153470295,-3.1499087547006153,1.5209103056665503,2,  ./-9/+3/+15,-8.690224205917147,133,8.970569017373275,310,0.9025,-
m3_bubble_away_back,playin,gp50,fg_spread_away,,135,55.55555555555556,50.05197505197505,5.503580503580507,6.073690332949598,-4.440660620172386,1.2797480663704441,1,+9/  ./-4/  .,8.248277062710057,97,0.5227715754031576,38,0.98,-
m10_final2wk_h1_over,fatigue,all,h1_total_over,,201,54.72636815920397,50.421998366457935,4.304369792746043,4.361413814072044,-3.840378850056715,1.219436670498705,2,  ./+12/+4/-3,12.151126864247216,68,0.3787033824035355,133,0.9925,-
m9_postdl_dead_over,deadline,postdl,fg_total_over,,327,54.43425076452599,51.08033240997229,3.3539183545536977,3.9213688029724887,-2.4798813912793083,1.212912006929476,2,+14/-3/-1/+6,5.17901274644669,167,2.608702936971289,160,0.9925,-
m1_alive_vs_dead_tt,teamtotal,gp50,tt_home_over,the live team facing a dead one,185,54.59459459459459,50.27510316368639,4.319491430908206,3.392684346181757,-4.716368031300951,1.1637233887082208,2,  ./+8/-10/+12,7.685518336673786,58,1.432177484382247,127,0.9975,-
m7_bigdog_tt_over,teamtotal,all,tt_home_over,big home dogs -- garbage time cuts both ways and the market may over-fade them,444,52.92792792792793,50.48701298701299,2.44091494091494,0.23459228770580068,-4.85574382284728,1.1364268201663288,1,  ./-6/-5/+10,-6.36296139361427,134,3.086438072534478,310,0.9975,-
m1_tank_a_opp_tt_over,teamtotal,gp50,tt_home_over,,223,53.81165919282511,50.27510316368639,3.5365560291387266,1.8573479293741832,-4.716368031300951,1.0357552890054227,1,  ./-2/-6/+13,-1.5390741044466516,71,3.4438345372773385,152,0.9975,-
m2_dead_h_h1_fav,half,gp50,h1_spread_fav,,244,53.68852459016394,50.83333333333333,2.8551912568306026,2.423903295430448,-3.0685445062226737,0.8998987143043397,2,  ./-9/+10/+7,-9.37492139251975,84,8.6182862566043,160,1.0,-
