market,variant,cut,venue,n,win,roi,blind_roi,delta
player_blocks,pois,top100%,cons,34658,55.935137630561485,-3.854905660569726,-3.3597653901640974,-0.4951402704056287
player_blocks,pois,top100%,best,34658,56.07074845634485,-2.884804446118421,-2.472663881926069,-0.4121405641923519
player_blocks,pois,top25%,cons,8665,57.17253317945759,0.8030284709897402,-1.558665669315204,2.361694140304944
player_blocks,pois,top25%,best,8665,57.32256203115984,1.825178510112289,-0.5621193560024114,2.3872978661147
player_blocks,pois,top10%,cons,3466,54.15464512406232,-0.8325174889396671,-1.241040006236953,0.40852251729728595
player_blocks,pois,top10%,best,3466,54.35660703981535,0.040888989239982694,-0.3769678424289305,0.4178568316689132
player_blocks,nb,top100%,cons,34658,62.372323850193325,-3.3764122709330096,-3.3597653901640974,-0.016646880768912187
player_blocks,nb,top100%,best,34658,62.55121472675861,-2.467619558621405,-2.472663881926069,0.005044323304663756
player_blocks,nb,top25%,cons,8665,50.60588574725908,-0.10215673567721834,-0.0760435851680978,-0.02611315050912054
player_blocks,nb,top25%,best,8665,51.27524523946912,1.2460368723795032,1.272887275594545,-0.02685040321504184
player_blocks,nb,top10%,cons,3466,47.23023658395845,1.1329078495468077,1.081615934052773,0.05129191549403478
player_blocks,nb,top10%,best,3466,48.355452971725335,2.124499029598687,2.071764530367887,0.052734499230800314
player_blocks,emp,top100%,cons,34658,61.7375497720584,-4.057724739057977,-3.3597653901640974,-0.6979593488938796
player_blocks,emp,top100%,best,34658,61.85007790409141,-3.1682292542376955,-2.472663881926069,-0.6955653723116266
player_blocks,emp,top25%,cons,8673,62.93093508589877,-3.8631397397078597,-3.272844816483003,-0.5902949232248567
player_blocks,emp,top25%,best,8673,63.057765479072984,-2.8309193515700617,-2.2628397522645605,-0.5680795993055012
player_blocks,emp,top10%,cons,3475,58.1294964028777,-3.894441165512414,-2.8033749799934222,-1.0910661855189918
player_blocks,emp,top10%,best,3475,58.18705035971223,-2.9484146070137296,-1.6920350335484786,-1.256379573465251
player_steals,pois,top100%,cons,26346,52.592423897365826,-2.8652538971251906,-2.5163480273178496,-0.34890586980734106
player_steals,pois,top100%,best,26346,52.94162301677674,-1.636468081849678,-1.2183744186313623,-0.41809366321831565
player_steals,pois,top25%,cons,6587,56.03461363291331,1.3837676698346772,1.2362118264657693,0.14755584336890792
player_steals,pois,top25%,best,6587,56.47487475330196,1.8734840769787307,1.6227892557442125,0.25069482123451814
player_steals,pois,top10%,cons,2635,56.88804554079696,2.393266213686688,3.564655866749599,-1.1713896530629109
player_steals,pois,top10%,best,2635,57.3055028462998,1.2958357863453351,2.309809748995236,-1.013973962649901
player_steals,nb,top100%,cons,26346,51.692856600622484,-2.5176746525978397,-2.5163480273178496,-0.0013266252799901679
player_steals,nb,top100%,best,26346,52.20526835193198,-1.1859669226010279,-1.2183744186313623,0.03240749603033444
player_steals,nb,top25%,cons,6587,48.216183391528766,2.671483879804575,2.7279214430456187,-0.056437563241043875
player_steals,nb,top25%,best,6587,48.9448914528617,2.9863752072943672,3.043139952709846,-0.056764745415478934
player_steals,nb,top10%,cons,2635,48.19734345351044,3.804917380750971,3.804917380750971,0.0
player_steals,nb,top10%,best,2635,49.411764705882355,2.8281240988049157,2.8281240988049157,0.0
player_steals,emp,top100%,cons,26346,52.06862521824945,-3.6082134276327595,-2.5163480273178496,-1.09186540031491
player_steals,emp,top100%,best,26346,52.489941547103925,-2.2810123101242183,-1.2183744186313623,-1.062637891492856
player_steals,emp,top25%,cons,6589,53.6196691455456,-2.4509787686154447,-1.5535187243619228,-0.8974600442535219
player_steals,emp,top25%,best,6589,54.02944301107907,-0.9549822263099623,-0.11559558721644543,-0.8393866390935169
player_steals,emp,top10%,cons,2635,51.119544592030365,-3.4795954467223313,-0.8160615464994079,-2.6635339002229235
player_steals,emp,top10%,best,2635,51.61290322580645,-1.22370024107439,0.8257517959406525,-2.0494520370150426
player_threes,pois,top100%,cons,38595,51.708770566135506,-5.569416562082978,-3.466810421215343,-2.1026061408676346
player_threes,pois,top100%,best,38591,52.41636651032624,-2.9109867929914954,-0.7303009146632814,-2.180685878328214
player_threes,pois,top25%,cons,9649,54.140325422323556,-2.5376258940137797,-3.5590791568841103,1.0214532628703306
player_threes,pois,top25%,best,9648,54.75746268656716,-0.3318687786609182,-1.1747213009479232,0.8428525222870049
player_threes,pois,top10%,cons,3860,54.45595854922279,-1.287941682524014,-2.1190474873379723,0.8311058048139583
player_threes,pois,top10%,best,3860,55.02590673575129,0.3413977060910951,-0.2694087911763957,0.6108064972674908
player_threes,nb,top100%,cons,38595,52.24251846094054,-3.409265477602648,-3.466810421215343,0.05754494361269513
player_threes,nb,top100%,best,38591,53.471016558264886,-0.6362430556520875,-0.7303009146632814,0.0940578590111939
player_threes,nb,top25%,cons,9649,50.367913773448024,-1.0506301102137638,-0.5800521241554832,-0.4705779860582806
player_threes,nb,top25%,best,9648,52.17661691542289,1.6043397003343052,2.0911411204642523,-0.4868014201299471
player_threes,nb,top10%,cons,3860,51.03626943005182,0.9492800334574645,1.4134295802042274,-0.4641495467467629
player_threes,nb,top10%,best,3860,53.005181347150256,2.8616627911829577,3.3304168863000028,-0.468754095117045
player_threes,emp,top100%,cons,38595,52.15183313900764,-4.691348560796314,-3.466810421215343,-1.2245381395809707
player_threes,emp,top100%,best,38591,53.02272550594698,-1.9703808700932406,-0.7303009146632814,-1.2400799554299593
player_threes,emp,top25%,cons,9649,53.901958752202304,-5.139915579179986,-3.8277213271262918,-1.3121942520536942
player_threes,emp,top25%,best,9648,54.861111111111114,-2.7082512034705624,-1.1140645328742353,-1.594186670596327
player_threes,emp,top10%,cons,3860,52.27979274611398,-6.256981841023104,-3.4968211490255565,-2.7601606919975477
player_threes,emp,top10%,best,3860,53.41968911917099,-3.668223705934119,-0.6230533709797834,-3.0451703349543355
player_assists,pois,top100%,cons,40368,51.70184304399525,-4.274852349143439,-5.183724715886397,0.9088723667429583
player_assists,pois,top100%,best,40367,52.55530507592836,-2.0207248875280164,-2.747803292576995,0.7270784050489785
player_assists,pois,top25%,cons,10092,53.42845818470076,-2.2217964339341334,-5.897831675839056,3.6760352419049225
player_assists,pois,top25%,best,10092,54.042806183115346,-0.7228001769081355,-4.041186460558498,3.318386283650362
player_assists,pois,top10%,cons,4037,52.29130542482041,-3.899517935161576,-4.713425002595355,0.8139070674337789
