market,cut,venue,n,win,roi,blind_win,blind_roi,delta
player_assists,top100%,cons,40368,55.10057471264368,-5.181697530142618,51.27328577090765,-5.183724715886397,0.0020271857437794694
player_assists,top100%,best,40499,55.60137287340429,-2.911579532091575,52.86797204869256,-2.5518428034516196,-0.3597367286399553
player_assists,top50%,cons,20184,57.37713040031708,-5.360728381197934,51.53586999603647,-5.997422227087449,0.636693845889515
player_assists,top50%,best,20250,57.62469135802469,-3.4724422042752487,53.096296296296295,-3.718065959435922,0.24562375516067325
player_assists,top25%,cons,10092,58.87831946095917,-4.866758938635147,50.87197780420135,-7.361746709638769,2.494987771003622
player_assists,top25%,best,10125,59.01234567901235,-3.2411924326861343,52.2962962962963,-5.349795413311617,2.108602980625483
player_assists,top10%,cons,4037,58.607877136487495,-6.418201770999805,50.334406737676495,-6.419230183664454,0.0010284126646489256
player_assists,top10%,best,4050,58.81481481481482,-4.882672180364161,51.580246913580254,-4.623914076958173,-0.25875810340598804
player_assists,top5%,cons,2019,58.39524517087668,-6.799565334612925,48.93511639425458,-7.260586508079707,0.46102117346678195
player_assists,top5%,best,2025,58.51851851851851,-5.395784207332281,50.37037037037037,-4.959300800606056,-0.4364834067262251
player_blocks,top100%,cons,34658,66.1434589416585,-4.2825267820392945,64.52767037913324,-3.3597653901640974,-0.9227613918751971
player_blocks,top100%,best,34722,66.2231438281205,-3.391781578236451,64.77161453833304,-2.386540391465622,-1.0052411867708293
player_blocks,top50%,cons,17329,75.50349125742974,-3.087915482114635,75.01298401523458,-3.1145844307366257,0.02666894862199065
player_blocks,top50%,best,17361,75.47952306894764,-2.59463972817656,74.98991993548759,-2.621691622881562,0.027051894705002244
player_blocks,top25%,cons,8665,81.76572417772648,-2.4953498636720086,81.77726485862667,-2.4408879255326714,-0.054461938139337196
player_blocks,top25%,best,8681,81.74173482317705,-2.216187112274539,81.75325423338326,-2.159550222654577,-0.05663688961996227
player_blocks,top10%,cons,3466,85.17022504327755,-2.6268675020507355,85.17022504327755,-2.6268675020507355,0.0
player_blocks,top10%,best,3473,85.20011517420097,-2.327552759575288,85.20011517420097,-2.327552759575288,0.0
player_blocks,top5%,cons,1733,87.24754760530871,-1.7555653601798857,87.24754760530871,-1.7555653601798857,0.0
player_blocks,top5%,best,1737,87.2769142199194,-1.4299591176456325,87.2769142199194,-1.4299591176456325,0.0
player_points,top100%,cons,43659,51.325041801232274,-4.917267978255541,51.30900845186559,-4.031939503964126,-0.8853284742914154
player_points,top100%,best,43742,52.59476018471949,-1.6184026777136553,53.0611311782726,-0.5217997267229786,-1.0966029509906767
player_points,top50%,cons,21830,52.13467704993129,-3.920131815828646,51.69491525423729,-3.451475744339178,-0.46865607148946786
player_points,top50%,best,21871,53.120570618627404,-0.8923769983744503,53.285172145763795,-0.16346929560723192,-0.7289077027672184
player_points,top25%,cons,10915,52.91800274851123,-2.6740017791325164,52.065964269354104,-2.862137005081212,0.1881352259486957
player_points,top25%,best,10936,53.86795903438186,0.44757081325157066,53.529626920263354,0.4028408204279595,0.044729992823611175
player_points,top10%,cons,4366,52.427851580393956,-3.648134625072715,51.46587265231333,-4.122444729274203,0.47431010420148745
player_points,top10%,best,4375,53.18857142857143,-0.809812981741769,52.59428571428572,-1.262029323577881,0.45221634183611203
