cell,kind,n,win,roi,cons,per
O1 vs D1,ats,1551,48.29142488716957,-7.763364575775626,1/4,50 47 48 49
O2 vs D3,tt_u,1047,48.90162368672397,-8.080063520953178,1/3,47 49 50
O1 vs D0,tt_o,1199,48.790658882402,-8.144388880506316,0/3,48 49 50
O0 vs D0,tt_u,978,48.670756646216766,-8.534573337264579,2/3,50 52 45
O2 vs D4,tt_u,1091,48.57928505957837,-8.79255891980381,1/3,46 50 49
O3 vs D3,tt_u,1532,48.36814621409922,-8.980228796519828,1/3,49 45 50
O1 vs D0,ats,1683,47.41532976827095,-9.438770138608234,0/4,47 44 49 49
O0 vs D1,tt_o,1021,47.992164544564154,-9.692223334710249,0/3,47 49 48
O2 vs D1,tt_o,1266,47.94628751974723,-9.958680047135841,0/3,48 48 49
O4 vs D3,tt_o,1208,47.764900662251655,-10.016889287546164,1/3,48 52 44
O4 vs D3,ats,1589,47.073631214600375,-10.09500090606217,0/4,47 47 47 47
O4 vs D0,tt_u,886,47.74266365688488,-10.226494475971244,1/3,43 50 51
O0 vs D3,tt_u,1037,47.6374156219865,-10.367524855580603,1/3,50 47 46
O0 vs D2,tt_u,1026,47.368421052631575,-10.70488306823583,0/3,49 45 49
O0 vs D4,tt_u,994,46.98189134808853,-11.684679205640109,0/3,46 48 47
O4 vs D2,tt_u,1107,46.612466124661246,-12.191528842645534,1/3,51 42 47
O3 vs D0,tt_u,997,46.63991975927783,-12.237531539643092,0/3,47 44 49
O3 vs D4,tt_u,1088,46.231617647058826,-12.938481967474342,0/3,43 48 48
O3 vs D2,tt_u,1258,45.46899841017488,-14.420590705548268,0/3,45 44 48
