key,family,phase,market,note,n,win,base_win,edge,roi,base_roi,z,seasons_pos,by_season,disc_roi,disc_n,val_roi,val_n,search_p,tier
reg_h_d5_hot_fade,regress,all,fg_spread_away,,722,50.27700831024931,49.65390879478828,0.6230995154610286,-4.008857441681462,-5.17213108504266,0.32734339769803,2,+11/-12/+2/-12,-2.3852729829783845,309,-5.22359738778134,413,1.0,-
vsline_need_h_hi,vs_line,all,fg_spread_home,home's last 5 margins clear what this spread asks by a wide margin,713,50.911640953716685,50.34609120521173,0.5655497485049565,-2.7899185836037006,-3.8500113709434873,0.2964426567067527,1,-14/+2/-2/-0,-4.819155542432563,319,-1.1469576956178937,394,1.0,-
vsline_both_lo_under,vs_line,all,fg_total_under,,507,49.90138067061144,49.29806714140387,0.603313529207572,-4.707008644317509,-5.875916501448264,0.2757309251075729,1,-6/+2/-11/-5,-1.8635784649380271,249,-7.451249398834915,258,1.0,-
gbr_home_hi0.2,standings,gp25,fg_spread_away,home is 0.2 games back per game left -> fade,1079,50.602409638554214,50.191120258747425,0.4112893798067896,-3.397630680905427,-4.164956004099017,0.2640113840809256,1,+9/-1/-5/-13,3.2748171098480836,488,-8.907198399835568,591,1.0,-
late_spread_move_to_away,movement,all,fg_spread_away,,192,50.520833333333336,49.65390879478828,0.8669245385450608,-3.5387467338457714,-5.17213108504266,0.2370238803197519,1,-16/-0/+14/-12,-9.130211290182782,103,2.9322740448363924,89,1.0,-
vsline_total_l3_lo,vs_line,all,fg_total_under,,723,49.654218533886585,49.29806714140387,0.35615139248271754,-5.189174616858702,-5.875916501448264,0.1934478489765278,1,-11/+4/-13/-2,-2.9805437933853187,366,-7.4534852089910775,357,1.0,-
late_spread_move_to_home,movement,all,fg_spread_home,,183,50.81967213114754,50.34609120521173,0.4735809259358126,-2.9173033905622385,-3.8500113709434873,0.13213664924995852,2,-16/+11/+4/-13,-2.649266545650784,102,-3.254831269339627,81,1.0,-
b2b_home_fade,context,all,fg_spread_away,,780,49.871794871794876,49.65390879478828,0.217886077006596,-4.76832926748414,-5.17213108504266,0.1181051048837648,0,-16/-2/-1/-4,-7.784733125831618,352,-2.287548524170325,428,1.0,-
rt_spread_gap_hi4.5,ratings,all,fg_spread_home,ratings say home by 4.5+ more than the line,913,50.492880613362544,50.34609120521173,0.14678940815081587,-3.52457153215488,-3.8500113709434873,0.10298124952039121,2,+2/-12/+2/-7,-4.29592884351014,489,-2.6349636895777078,424,1.0,-
open_spread_move_to_home,movement,all,fg_spread_home,,764,50.523560209424076,50.34609120521173,0.17746900421234946,-3.525391924912022,-3.8500113709434873,0.09396654605734248,2,-10/-11/+3/+3,-10.180446530883048,372,2.790119078713545,392,1.0,-
vsline_both_hi_over,vs_line,all,fg_total_over,"BOTH teams' last 5 are 3+ points above this total -- agreement, not one outlier",643,50.85536547433903,50.70193285859613,0.1534326157428989,-2.905068573958435,-3.2059075332328733,0.0799258798615637,2,+8/+13/-11/-20,10.210828573244248,317,-15.658870401146322,326,1.0,-
rt_total_gap_hi3.0_fade,ratings,all,fg_total_under,,4871,49.353315540956686,49.29806714140387,0.05524839955281524,-5.770355641940247,-5.875916501448264,0.07718149790170313,0,-5/-4/-10/-3,-4.623504584089652,2412,-6.895286407103174,2459,1.0,-
rt_total_gap_hi7.0_fade,ratings,all,fg_total_under,,4871,49.353315540956686,49.29806714140387,0.05524839955281524,-5.770355641940247,-5.875916501448264,0.07718149790170313,0,-5/-4/-10/-3,-4.623504584089652,2412,-6.895286407103174,2459,1.0,-
rt_total_gap_hi5.0_fade,ratings,all,fg_total_under,,4871,49.353315540956686,49.29806714140387,0.05524839955281524,-5.770355641940247,-5.875916501448264,0.07718149790170313,0,-5/-4/-10/-3,-4.623504584089652,2412,-6.895286407103174,2459,1.0,-
reg_h_d5_atsm_hi,regress,all,fg_spread_away,,686,49.70845481049563,49.65390879478828,0.05454601570735185,-5.0998202251496805,-5.17213108504266,0.01983438243278285,1,+9/-13/-1/-11,-3.9549731795942527,318,-6.089117400385078,368,1.0,-
early_over,early_bias,early,fg_total_over,,905,52.81767955801106,52.81767955801106,0.0,0.834903097118061,0.834903097118061,0.0,3,-5/+3/+1/+4,-0.8610382645623615,441,2.4467783999220827,464,1.0,-
early_h1_under,early_bias,early,h1_total_under,,680,49.411764705882355,49.411764705882355,0.0,-5.622220451306562,-5.622220451306562,0.0,0,  ./-1/-7/-9,-0.5006087245522208,213,-7.958201817042483,467,1.0,-
early_dog,early_bias,early,fg_spread_dog,early lines are least accurate -> dogs should be underpriced,913,52.46440306681271,52.46440306681271,0.0,0.27753289466335335,0.27753289466335335,0.0,2,+4/-1/+4/-6,1.4092692167831613,456,-0.8517269803621006,457,1.0,-
early_under,early_bias,early,fg_total_under,the classic early-season under,905,47.18232044198895,47.18232044198895,0.0,-9.915474222399178,-9.915474222399178,0.0,0,-5/-12/-10/-13,-8.22873869353929,441,-11.518600015992305,464,1.0,-
gbr_home_hi0.1,standings,gp25,fg_spread_away,home is 0.1 games back per game left -> fade,1441,50.1734906315059,50.191120258747425,-0.017629627241522172,-4.205821235839678,-4.164956004099017,-0.01624869014903113,1,+2/-2/-3/-12,-0.24915377556530724,689,-7.831012565798508,752,1.0,-
rt_total_gap_hi_h1,ratings,all,h1_total_over,,3672,50.408496732026144,50.421998366457935,-0.013501634431789533,-3.86618208256193,-3.840378850056715,-0.016397509367820737,0,  ./-5/-4/-3,-4.59868506734687,1221,-3.5012754548906075,2451,1.0,-
reg_scoring_d3_lo_over,regress,all,fg_total_over,,679,50.662739322533135,50.70193285859613,-0.039193536062998025,-3.2824733676424778,-3.2059075332328733,-0.02090344031600785,1,-11/-1/+6/-7,-5.983563192743044,331,-0.7133333328485487,348,1.0,-
S9c_dead_away_fav,standings,gp50,fg_spread_fav,CONTROL -- away team dead was null in the original work; it must stay null,312,52.56410256410257,52.650727650727646,-0.08662508662508062,0.36053964140620554,0.5148460130207324,-0.02859385679845293,2,-16/-1/+6/+8,-7.8449979312048255,145,7.485108192475664,167,1.0,-
div_under,context,all,fg_total_under,,973,49.22918807810894,49.29806714140387,-0.06887906329492433,-6.00983247734206,-5.875916501448264,-0.04376128147072561,1,-13/+5/-14/-2,-3.9497772125692254,485,-8.057223467946208,488,1.0,-
rt_total_gap_hi3.0,ratings,all,fg_total_over,ratings imply a total 3.0+ above the market's,4871,50.64668445904332,50.70193285859613,-0.05524839955280969,-3.311386326948644,-3.2059075332328733,-0.07712977794602698,1,-4/-5/+1/-6,-4.4627126754180715,2412,-2.1820658094585026,2459,1.0,-
rt_total_gap_hi5.0,ratings,all,fg_total_over,ratings imply a total 5.0+ above the market's,4871,50.64668445904332,50.70193285859613,-0.05524839955280969,-3.311386326948644,-3.2059075332328733,-0.07712977794602698,1,-4/-5/+1/-6,-4.4627126754180715,2412,-2.1820658094585026,2459,1.0,-
rt_total_gap_hi7.0,ratings,all,fg_total_over,ratings imply a total 7.0+ above the market's,4871,50.64668445904332,50.70193285859613,-0.05524839955280969,-3.311386326948644,-3.2059075332328733,-0.07712977794602698,1,-4/-5/+1/-6,-4.4627126754180715,2412,-2.1820658094585026,2459,1.0,-
vsline_both_hi_under,vs_line,all,fg_total_under,,643,49.14463452566096,49.29806714140387,-0.15343261574290445,-6.1727570941119785,-5.875916501448264,-0.07885513813882329,2,-17/-22/+2/+11,-19.297556623910335,317,6.589701344372932,326,1.0,-
open_spread_move_to_home_fade,movement,all,fg_spread_away,,764,49.47643979057592,49.65390879478828,-0.17746900421236056,-5.470449957159905,-5.17213108504266,-0.0863536117153143,2,+1/+1/-11/-12,1.123804069212481,372,-11.728262451574516,392,1.0,-
b2b_both_under,context,all,fg_total_under,,247,48.987854251012145,49.29806714140387,-0.31021289039172006,-6.446494951641678,-5.875916501448264,-0.09394313781831799,1,-15/-15/+8/-7,-14.95867768595041,110,0.38810432408066226,137,1.0,-
late_spread_move_to_home_fade,movement,all,fg_spread_away,,183,49.18032786885246,49.65390879478828,-0.47358092593581813,-6.08657361713359,-5.17213108504266,-0.1295492971918992,2,+7/-20/-13/+4,-6.399700363954711,102,-5.692265861877366,81,1.0,-
rt_spread_gap_hi3.0,ratings,all,fg_spread_home,ratings say home by 3.0+ more than the line,1351,50.111028867505546,50.34609120521173,-0.23506233770618223,-4.256048326306002,-3.8500113709434873,-0.15629507357129388,0,-2/-9/-0/-5,-5.43460196557409,711,-2.9467488926816117,640,1.0,-
vsline_total_l3_lo_fade,vs_line,all,fg_total_over,,723,50.345781466113415,50.70193285859613,-0.35615139248271754,-3.89194878181835,-3.2059075332328733,-0.19327124271788565,2,+2/-13/+4/-7,-6.107983293775638,366,-1.6200478535932281,357,1.0,-
reg_h_d5_atsm_lo,regress,all,fg_spread_home,,707,49.929278642149924,50.34609120521173,-0.4168125630618025,-4.641668399099232,-3.8500113709434873,-0.22044427813642348,0,-5/-6/-5/-2,-5.614283647222374,350,-3.688124038194191,357,1.0,-
rt_spread_gap_hi2.0,ratings,all,fg_spread_home,ratings say home by 2.0+ more than the line,1680,50.05952380952381,50.34609120521173,-0.28656739568792,-4.366298246794778,-3.8500113709434873,-0.22161429890067605,0,-2/-10/-1/-4,-5.7018360801197865,875,-2.914626688832812,805,1.0,-
form_cold_home_l5_back,form,all,fg_spread_home,home failed to cover all of last 5 -> back,168,49.404761904761905,50.34609120521173,-0.9413293004498224,-5.630301268818822,-3.8500113709434873,-0.24165590981244053,1,-7/+0/-2/-13,-3.3593972840756736,83,-7.8477722186268375,85,1.0,-
vsline_both_lo_over,vs_line,all,fg_total_over,,507,50.09861932938856,50.70193285859613,-0.603313529207572,-4.3659052509911085,-3.2059075332328733,-0.27365852149998343,1,-3/-11/+1/-5,-7.227240906913722,249,-1.6043836295774234,258,1.0,-
vsline_both_lo_h1_under,vs_line,all,h1_total_under,,397,48.86649874055416,49.578001633542065,-0.7115028929879086,-6.64129451281897,-5.310988353761628,-0.2775645797075904,1,  ./+2/-13/-10,2.3013433219306885,140,-11.512770376106724,257,1.0,-
vsline_need_h_lo,vs_line,all,fg_spread_away,,732,49.04371584699454,49.65390879478828,-0.6101929477937418,-6.333709031464892,-5.17213108504266,-0.3291220635779573,0,-6/-5/-8/-7,-5.087680282227758,342,-7.426380396180532,390,1.0,-
h2h_meet3_under,h2h,all,fg_total_under,3th+ meeting of the season -> familiarity depresses scoring,1502,48.8681757656458,49.29806714140387,-0.42989137575806247,-6.698206328512906,-5.875916501448264,-0.33385747478178274,0,-4/-9/-8/-6,-6.410551487133663,767,-6.998384918088249,735,1.0,-
form_su_streak_h3_ride,form,all,fg_spread_home,,760,49.73684210526316,50.34609120521173,-0.6092490999485722,-5.010589829318192,-3.8500113709434873,-0.3350683087754921,1,-12/+1/-3/-6,-5.319533659822678,361,-4.731069220766514,399,1.0,-
form_su_streak_h5_ride,form,all,fg_spread_home,,276,49.275362318840585,50.34609120521173,-1.0707288863711473,-5.9208546904053705,-3.8500113709434873,-0.3602913491128669,1,-19/+19/-5/-15,-1.3421576437631457,120,-9.44292934166862,156,1.0,-
vsline_total_l5_lo,vs_line,all,fg_total_under,,718,48.607242339832865,49.29806714140387,-0.6908248015709995,-7.183780715463589,-5.875916501448264,-0.3671352622672977,1,-12/+7/-10/-16,-1.3469632847804085,358,-12.988171382642975,360,1.0,-
vsline_total_l10_hi,vs_line,all,fg_total_over,last-10 combined scoring is well above this total,549,49.90892531876138,50.70193285859613,-0.7930075398347503,-4.716923141973711,-3.2059075332328733,-0.3709394166563697,1,-9/+3/-4/-10,-2.6335128458650514,249,-6.446153687743898,300,1.0,-
form_su_streak_h4_ride,form,all,fg_spread_home,,449,49.44320712694877,50.34609120521173,-0.9028840782629555,-5.592651453650669,-3.8500113709434873,-0.38670779085842993,1,-10/+6/-6/-11,-2.144250341083124,199,-8.337578739254434,250,1.0,-
late_total_move_up_fade,movement,all,fg_total_under,,166,47.59036144578313,49.29806714140387,-1.707705695620737,-9.140602815301605,-5.875916501448264,-0.4406529917103882,1,-15/+2/-15/-11,-5.668449197860959,85,-12.784220808912163,81,1.0,-
form_hot_home_l5_fade,form,all,fg_spread_away,home covered all of last 5 -> fade,839,48.86769964243147,49.65390879478828,-0.7862091523568093,-6.705759633148651,-5.17213108504266,-0.46521559365297255,0,-4/-11/-5/-7,-7.47448735246703,392,-6.0316180985338805,447,1.0,-
vsline_both_lo_tt_home,vs_line,all,tt_home_under,,396,48.23232323232323,49.457700650759215,-1.2253774184359856,-8.322784309585119,-6.051654580026514,-0.4752866064626708,0,  ./-3/-13/-9,-3.167177389453539,139,-11.111225406465621,257,1.0,-
vsline_total_l10_lo,vs_line,all,fg_total_under,,686,48.250728862973766,49.29806714140387,-1.0473382784301044,-7.872017469270522,-5.875916501448264,-0.547703837033988,0,-7/-5/-10/-9,-5.72944178018719,320,-9.745307689234089,366,1.0,-
b2b_away_tt_under,context,all,tt_away_under,,664,47.59036144578313,48.61788617886179,-1.0275247330786608,-9.71185870838469,-7.54270369236876,-0.5869297117085683,1,  ./-9/+4/-24,-9.378470743119246,215,-9.871498825382622,449,1.0,-
form_ats_streak_a5_fade,form,all,fg_spread_home,,136,47.794117647058826,50.34609120521173,-2.5519735581529037,-8.743975172528579,-3.8500113709434873,-0.5976986282189606,2,-36/+3/-10/+8,-15.092946960819717,72,-1.6013819107010483,64,1.0,-
rt_spread_gap_hi2.0_ml,ratings,all,fg_ml_home,,1713,34.50087565674256,55.37387836490528,-20.873002708162723,-6.929035459894378,-5.443226418195183,-0.5987617277511145,1,+3/-13/-6/-13,-4.833838799580806,893,-9.210755725333428,820,1.0,-
rt_spread_gap_lo4.5,ratings,all,fg_spread_away,,738,48.509485094850945,49.65390879478828,-1.1444236999373303,-7.338591144072608,-5.17213108504266,-0.6163564804115066,1,-5/+1/-8/-13,-2.13042447633764,279,-10.50433951073504,459,1.0,-
open_total_move_up_follow,movement,all,fg_total_over,,1177,49.7875955819881,50.70193285859613,-0.9143372766080293,-4.958413427576999,-3.2059075332328733,-0.6299347702430672,1,+1/-12/-1/-7,-6.162542859790561,531,-3.9686414020268423,646,1.0,-
vsline_total_l5_hi,vs_line,all,fg_total_over,last-5 combined scoring is well above this total,661,49.47049924357035,50.70193285859613,-1.2314336150257843,-5.549749205926738,-3.2059075332328733,-0.6313597086472397,1,-4/+3/-11/-10,-0.1410069998200184,325,-10.781419494571635,336,1.0,-
vsline_total_l3_hi,vs_line,all,fg_total_over,last-3 combined scoring is well above this total,700,49.42857142857143,50.70193285859613,-1.2733614300247054,-5.620495761688209,-3.2059075332328733,-0.6693294913139807,1,-9/+5/-0/-19,-1.5777383182332447,355,-9.780434580315783,345,1.0,-
div_dog,context,all,fg_spread_dog,,964,48.85892116182573,49.95928338762215,-1.1003622257964252,-6.663428465508871,-4.565055487379154,-0.6821108875522907,1,-8/-7/-16/+4,-7.502705283716376,481,-5.827626913629342,483,1.0,-
form_ats_streak_h5_fade,form,all,fg_spread_away,home on a 5+ ATS win streak -> fade,170,47.05882352941176,49.65390879478828,-2.595085265376512,-10.170403109396313,-5.17213108504266,-0.6824918158774892,2,+1/-27/+2/-12,-15.386904062499951,88,-4.572206964602169,82,1.0,-
h2h_prev_cover_fade,h2h,all,fg_spread_away,home covered the last meeting -> anti-persistence,546,48.16849816849817,49.65390879478828,-1.4854106262901068,-7.997594079870803,-5.17213108504266,-0.6914153928301447,1,-5/-14/-12/+0,-9.433322180684172,293,-6.334873393948599,253,1.0,-
form_ats_streak_a3_fade,form,all,fg_spread_home,,549,48.816029143898,50.34609120521173,-1.5300620613137306,-6.767875493975868,-3.8500113709434873,-0.7159839525175734,1,-9/-15/-5/+2,-11.948864172494519,269,-1.790425656399025,280,1.0,-
form_hot_away_l3_fade,form,all,fg_spread_home,,549,48.816029143898,50.34609120521173,-1.5300620613137306,-6.767875493975868,-3.8500113709434873,-0.7159839525175734,1,-9/-15/-5/+2,-11.948864172494519,269,-1.790425656399025,280,1.0,-
vsline_both_hi_tt_home,vs_line,all,tt_home_over,,480,48.75,50.48701298701299,-1.7370129870129924,-8.06739841233141,-4.85574382284728,-0.7455091533904571,0,  ./-1/-13/-10,-0.5881224049490816,153,-11.566876177253418,327,1.0,-
reg_h_d3_hot_fade,regress,all,fg_spread_away,,717,48.25662482566248,49.65390879478828,-1.3972839691257954,-7.841705046362822,-5.17213108504266,-0.7486082937568026,1,+2/-14/-3/-14,-6.918962209187169,322,-8.59391566299715,395,1.0,-
open_total_move_dn_fade,movement,all,fg_total_over,,1225,49.55102040816327,50.70193285859613,-1.1509124504328672,-5.3925087864274035,-3.2059075332328733,-0.8018359039720098,0,-6/-4/-3/-10,-4.862632546040501,586,-5.878435980272044,639,1.0,-
vsline_both_hi_h1_over,vs_line,all,h1_total_over,,472,48.516949152542374,50.421998366457935,-1.9050492139155606,-7.424343340055735,-3.840378850056715,-0.8165581786248018,0,  ./-3/-13/-7,-2.788837507675659,149,-9.562703615673787,323,1.0,-
form_ats_streak_a4_fade,form,all,fg_spread_home,,278,47.84172661870504,50.34609120521173,-2.504364586506691,-8.646019356187239,-3.8500113709434873,-0.8374412469513478,1,-28/-12/-7/+12,-19.50639774355799,140,2.3717558194062756,138,1.0,-
rt_spread_gap_hi3.0_ml,ratings,all,fg_ml_home,,1378,32.365747460087086,55.37387836490528,-23.0081309048182,-7.887616156176512,-5.443226418195183,-0.8835017521469295,1,+5/-16/-6/-16,-5.011642001036528,725,-11.08069619059686,653,1.0,-
rt_spread_gap_lo2.0,ratings,all,fg_spread_away,,1648,48.54368932038835,49.65390879478828,-1.110219474399926,-7.26759660794813,-5.17213108504266,-0.8908656674568279,0,-4/-7/-8/-9,-5.672853647653782,745,-8.583303701435717,903,1.0,-
h2h_blowout_regress,h2h,all,fg_spread_away,last meeting was an ATS blowout -> regression,326,46.93251533742331,49.65390879478828,-2.7213934573649623,-10.376605601036456,-5.17213108504266,-0.9840989880578642,0,-0/-15/-13/-10,-9.145583076167796,166,-11.653791470587693,160,1.0,-
vsline_margin_l3_lo,vs_line,all,fg_spread_away,,743,47.7792732166891,49.65390879478828,-1.8746355780991764,-8.745613582882694,-5.17213108504266,-1.0200915853042143,0,-2/-8/-19/-7,-5.091949801394205,348,-11.96453762328268,395,1.0,-
vsline_margin_l5_hi,vs_line,all,fg_spread_home,both teams' last-5 margins say home is underpriced,727,48.28060522696011,50.34609120521173,-2.065485978251619,-7.771281273363864,-3.8500113709434873,-1.1072507765791977,0,-12/-11/-1/-8,-11.640041521703305,322,-4.695378063572997,405,1.0,-
vsline_margin_l10_lo,vs_line,all,fg_spread_away,,676,47.485207100591715,49.65390879478828,-2.168701694196562,-9.315111425647737,-5.17213108504266,-1.1280784927391085,0,-12/-3/-15/-8,-6.979108882943122,314,-11.34136777484456,362,1.0,-
late_total_move_dn_fade,movement,all,fg_total_over,,189,46.56084656084656,50.70193285859613,-4.141086297749574,-11.095543562414099,-3.2059075332328733,-1.1364117941660579,0,-13/-9/-3/-23,-11.205073995771663,86,-11.004090967571855,103,1.0,-
vsline_margin_l5_lo,vs_line,all,fg_spread_away,,726,47.38292011019284,49.65390879478828,-2.2709886845954372,-9.510649246282592,-5.17213108504266,-1.2242294678317949,0,-8/-7/-17/-8,-6.996313792161588,351,-11.86406723133985,375,1.0,-
h2h_meet2_over,h2h,all,fg_total_over,,3200,49.59375,50.70193285859613,-1.108182858596135,-5.318612264707398,-3.2059075332328733,-1.2521652753837826,1,-6/-8/+0/-8,-7.043701965894698,1602,-3.5892044416147484,1598,1.0,-
reg_h_d5_cold_back,regress,all,fg_spread_home,h playing 5-game stretch well below its own season norm,678,47.935103244837755,50.34609120521173,-2.410987960373973,-8.462723218608977,-3.8500113709434873,-1.2578336951036604,0,-11/-10/-7/-6,-10.591013784327492,331,-6.4325670881973664,347,1.0,-
reg_scoring_d5_lo_over,regress,all,fg_total_over,,663,48.114630467571644,50.70193285859613,-2.5873023910244877,-8.144514517561012,-3.2059075332328733,-1.3323216718584687,1,-18/-10/+11/-14,-13.831293731702374,339,-2.19445848795014,324,1.0,-
clinch_home_fade,standings,gp50,fg_spread_away,"CONTROL -- clinched was 49.2% originally, i.e. quitting is not the same as resting",442,46.83257918552036,50.05197505197505,-3.2193958664546884,-10.589581090674884,-4.440660620172386,-1.3542072651394272,1,-6/-12/+0/-21,-9.737652672435276,184,-11.19715794709383,258,1.0,-
