market,variant,model,top,n,win,roi,corr,mae_model,mae_mkt,per
h1_spread,raw,ridge,top100%,2531,50.53338601343342,-3.5189007984244562,0.029541640414873543,9.050133188680737,8.7564453125,49/52
h1_spread,raw,ridge,top50%,1264,51.26582278481012,-2.1163561091036227,0.029541640414873543,9.050133188680737,8.7564453125,51/51
h1_spread,raw,ridge,top25%,630,52.22222222222223,-0.34723161902561184,0.029541640414873543,9.050133188680737,8.7564453125,50/55
h1_spread,raw,ridge,top10%,251,53.78486055776892,2.6689404145568743,0.029541640414873543,9.050133188680737,8.7564453125,54/53
h1_spread,raw,ridge,top5%,125,56.00000000000001,6.88595967932035,0.029541640414873543,9.050133188680737,8.7564453125,59/52
h1_spread,raw,hgb,top100%,2531,48.91347293559858,-6.614949641068009,-0.016556227267467038,9.398469239241113,8.7564453125,49/49
h1_spread,raw,hgb,top50%,1262,49.04912836767036,-6.362916971913508,-0.016556227267467038,9.398469239241113,8.7564453125,49/49
h1_spread,raw,hgb,top25%,633,49.763033175355446,-5.032223082922787,-0.016556227267467038,9.398469239241113,8.7564453125,50/50
h1_spread,raw,hgb,top10%,254,46.06299212598425,-12.111533683170201,-0.016556227267467038,9.398469239241113,8.7564453125,47/44
h1_spread,raw,hgb,top5%,127,43.30708661417323,-17.35521378265274,-0.016556227267467038,9.398469239241113,8.7564453125,46/38
h1_spread,raw,lgbm,top100%,2531,49.38759383642829,-5.677836382239821,0.005445914214433446,9.278488962363834,8.7564453125,49/50
h1_spread,raw,lgbm,top50%,1265,50.276679841897234,-3.986346978198732,0.005445914214433446,9.278488962363834,8.7564453125,50/51
h1_spread,raw,lgbm,top25%,631,50.55467511885895,-3.4986637269039473,0.005445914214433446,9.278488962363834,8.7564453125,49/53
h1_spread,raw,lgbm,top10%,253,51.77865612648221,-1.1965422181931509,0.005445914214433446,9.278488962363834,8.7564453125,54/49
h1_spread,raw,lgbm,top5%,127,51.96850393700787,-0.8940305735853962,0.005445914214433446,9.278488962363834,8.7564453125,55/47
h1_spread,raw,xgb,top100%,2531,48.83445278546029,-6.754136623833869,-0.008163009845729338,9.26681897779854,8.7564453125,48/49
h1_spread,raw,xgb,top50%,1264,50.55379746835443,-3.4725917553744683,-0.008163009845729338,9.26681897779854,8.7564453125,50/51
h1_spread,raw,xgb,top25%,630,50.15873015873016,-4.194888194855972,-0.008163009845729338,9.26681897779854,8.7564453125,48/52
h1_spread,raw,xgb,top10%,251,49.00398406374502,-6.466395869598833,-0.008163009845729338,9.26681897779854,8.7564453125,48/50
h1_spread,raw,xgb,top5%,126,49.2063492063492,-6.065381005705562,-0.008163009845729338,9.26681897779854,8.7564453125,54/43
h1_spread,raw,cat,top100%,2531,49.50612406163572,-5.464056458657623,-0.003711329271413705,9.135120687113822,8.7564453125,49/50
h1_spread,raw,cat,top50%,1261,49.48453608247423,-5.517552733298758,-0.003711329271413705,9.135120687113822,8.7564453125,48/51
h1_spread,raw,cat,top25%,631,50.71315372424723,-3.1472903764915396,-0.003711329271413705,9.135120687113822,8.7564453125,49/52
h1_spread,raw,cat,top10%,252,50.79365079365079,-2.9723584372378204,-0.003711329271413705,9.135120687113822,8.7564453125,47/55
h1_spread,raw,cat,top5%,127,51.96850393700787,-0.6342516566311154,-0.003711329271413705,9.135120687113822,8.7564453125,52/52
h1_spread,raw,lgbm_clf,top100%,2531,50.098775187672864,-4.3433699192689055,0.008308604832891019,,,49/51
h1_spread,raw,lgbm_clf,top50%,1268,50.39432176656151,-3.7533423526809995,0.008308604832891019,,,49/52
h1_spread,raw,lgbm_clf,top25%,631,52.29793977812995,-0.20369794757332974,0.008308604832891019,,,51/55
h1_spread,raw,lgbm_clf,top10%,254,47.63779527559055,-9.144106204702569,0.008308604832891019,,,47/49
h1_spread,raw,lgbm_clf,top5%,126,46.82539682539682,-10.609646720595064,0.008308604832891019,,,46/52
