feature,family,delta,verdict
sum_form3_h1_tot_share,other,0.0006594818462617447,hurts
adj_net_ftr_a,adj matchup net,0.0006694680166573347,hurts
h_l5_pts_hhi,usage concentration,0.0006926787111397187,hurts
dm_arch_h_l3_pace,dims arch,0.0006953119879819364,hurts
sum_form3_total,other,0.0007027615200979886,hurts
raw_eff_s2d_sum_alwd,possession raw,0.0007055355129948482,hurts
net_twopct_l5_d,matchup net,0.0007066213138327004,hurts
d_s2d_adv_usage_percentage,usage concentration,0.0007066774120751823,hurts
adj_own_efg_sum_off,adj own levels,0.0007144397512046652,hurts
h_s_pace,team form/efficiency,0.0007227256617577116,hurts
sum_form_ortg,team form/efficiency,0.0007290683416727034,hurts
h_s2d_own_score,other,0.0007302608276003736,hurts
raw_trate_l10_sum_alwd,possession raw,0.0007324579823999033,hurts
a_form3_total,other,0.0007384196676776811,hurts
d_s2d_ortg,team form/efficiency,0.0007448801442172387,hurts
a_l3_top_min_share,usage concentration,0.0007490634854112471,hurts
adj_net_efg_d,adj matchup net,0.0007515765678464542,hurts
sum_l5_adv_pace,team form/efficiency,0.0007591686054441854,hurts
d_l5_adv_usage_percentage,usage concentration,0.0007599378560985137,hurts
raw_tov_l10_sum_alwd,possession raw,0.0007630721421075515,hurts
a_s_d_p3a_rate,other,0.0007714305718744402,hurts
radj_a_adj_net,adj ratings,0.0007755698931443955,hurts
d_s_p3_pct,other,0.0007792401367475027,hurts
adj_own_tov_rate_d_def,adj own levels,0.0007959389600588757,hurts
sum_s_d_p3a_rate,other,0.0008067854200090874,hurts
d_l10_own_score,other,0.0008096327579895507,hurts
a_l5_adv_usg_max,usage concentration,0.0008175018941318918,hurts
h_l10_adv_usage_percentage,usage concentration,0.0008210687869341232,hurts
sum_l10_efg,team form/efficiency,0.0008261976430160162,hurts
a_s_to_rate,other,0.000829716024410232,hurts
raw_oreb_l5_sum_off,possession raw,0.0008310584833768481,hurts
sum_l10_own_score,other,0.0008323932668888451,hurts
a_s2d_adv_pace,team form/efficiency,0.0008561269005503275,hurts
adj_own_three_rate_d_off,adj own levels,0.0008586881793302692,hurts
net_twopct_l10_d,matchup net,0.0008617456265243434,hurts
raw_oreb_l5_d_alwd,possession raw,0.0008682786558823208,hurts
h_form3_total,other,0.0008806658328926603,hurts
net_tov_l10_a,matchup net,0.0008824020974798757,hurts
d_l3_adv_usg_max,usage concentration,0.000883350059413146,hurts
dm_ix_pace_gap,dims interaction,0.0008838388026587429,hurts
net_oreb_s2d_sum,matchup net,0.000887417754025302,hurts
raw_twopct_l10_sum_alwd,possession raw,0.0009143042403770285,hurts
d_l3_efg,team form/efficiency,0.0009235318399128667,hurts
a_l10_total,other,0.0009266145513939783,hurts
sum_abs_fresh_max_min,other,0.0009321660884795135,hurts
sum_abs_stale_sum_ppg,other,0.0009451537465707954,hurts
a_l10_adv_usage_percentage,usage concentration,0.0009515142957447348,hurts
raw_ftr_s2d_sum_off,possession raw,0.0009518580600307025,hurts
d_form3_margin,other,0.0009654878398542011,hurts
sum_sched_rest,other,0.0010025895731595597,hurts
sum_l5_adv_rot_n,usage concentration,0.0010042356612384729,hurts
h_l10_top_min_share,usage concentration,0.0010068414559307182,hurts
sum_s_oreb_pg,team form/efficiency,0.0010116770133256903,hurts
d_s2d_min_hhi,usage concentration,0.0010145376074360002,hurts
raw_twopct_l5_d_off,possession raw,0.0010336706357897962,hurts
adj_own_poss_sum_off,adj own levels,0.001043280431806487,hurts
dm_trav_sum_b2b,dims trav,0.0010564901718147501,hurts
adj_own_three_pct_d_def,adj own levels,0.001061097075833961,hurts
a_l10_adv_usg_max,usage concentration,0.0010621800825118405,hurts
dm_arch_d_l10_pace,dims arch,0.0010737098059450667,hurts
d_abs_ret_n,other,0.0010742824624123959,hurts
raw_ftr_l10_sum_off,possession raw,0.0010772733741542528,hurts
a_s2d_adv_rot_n,usage concentration,0.001090144704012419,hurts
sum_l5_ortg,team form/efficiency,0.0010971581360658261,hurts
d_l3_own_score,other,0.0011004667649691519,hurts
d_l3_total,other,0.0011273380478263872,hurts
d_l5_efg,team form/efficiency,0.0011277256089269744,hurts
d_l3_adv_usage_percentage,usage concentration,0.0011376232047832086,hurts
sum_l5_opp_score,other,0.0011434810079369306,hurts
a_l3_adv_rot_n,usage concentration,0.0011447462623197235,hurts
d_sched_rest,other,0.0011479934657809276,hurts
adj_net_off_eff_sum,adj matchup net,0.0011526698983562594,hurts
adj_net_poss_sum,adj matchup net,0.0011628445867895854,hurts
a_s2d_pts_hhi,usage concentration,0.0011649725960475726,hurts
a_form3_ortg,team form/efficiency,0.001166854122841357,hurts
raw_eff_l5_sum_off,possession raw,0.0011778867525538278,hurts
net_oreb_s2d_d,matchup net,0.0011795466690259077,hurts
adj_own_oreb_pct_d_def,adj own levels,0.0011953936068632848,hurts
h_l10_margin,other,0.0012030343494317808,hurts
d_s2d_top_min_share,usage concentration,0.0012144797062809964,hurts
adj_net_tov_rate_h,adj matchup net,0.0012202371296625159,hurts
a_form3_adv_pace,team form/efficiency,0.0012490139872353007,hurts
h_s2d_top_min_share,usage concentration,0.001249908297714472,hurts
raw_twopct_s2d_d_off,possession raw,0.001254176162064774,hurts
sum_l3_top_min_share,usage concentration,0.001262006652229447,hurts
raw_eff_l10_sum_off,possession raw,0.0012676581915246066,hurts
adj_net_off_eff_h,adj matchup net,0.0012773256046806902,hurts
st_gap,structural,0.0012776279011786074,hurts
adj_own_three_pct_d_off,adj own levels,0.0013455163607686421,hurts
net_oreb_s2d_a,matchup net,0.001359386879834959,hurts
net_ftr_s2d_sum,matchup net,0.0013688111221394905,hurts
net_trate_s2d_sum,matchup net,0.001376038854397424,hurts
d_form_p3_pct,other,0.0013878551407295048,hurts
dm_ix_exp_x_fatigue_sum,dims interaction,0.0013920315902241215,hurts
h_form3_margin,other,0.0013990891509569475,hurts
a_l3_min_hhi,usage concentration,0.001407461055707604,hurts
raw_tpct_s2d_d_alwd,possession raw,0.0014150187881799697,hurts
h_l5_min_hhi,usage concentration,0.0014350824166421972,hurts
d_l10_ortg,team form/efficiency,0.0014491964203122848,hurts
a_s2d_adv_usg_max,usage concentration,0.0014528813935481694,hurts
h_s_d_p3_pct,other,0.0014534869144003232,hurts
h_l3_adv_rot_n,usage concentration,0.0014749503363764294,hurts
sum_s_p3a_rate,other,0.001477834287547053,hurts
a_l3_adv_usg_max,usage concentration,0.0015039918972667154,hurts
d_abs_ret_max_ppg,other,0.0015450546642296753,hurts
dm_trav_a_rest_days,dims trav,0.0015587681273456083,hurts
sum_abs_ret_n,other,0.0015672758375673695,hurts
net_eff_l5_h,matchup net,0.0015688190295274212,hurts
d_abs_ret_sum_ppg,other,0.0015801068273844643,hurts
d_s_to_rate,other,0.0015911434538043168,hurts
h_s_oreb_pg,team form/efficiency,0.0015991935336418933,hurts
dm_exp_a_exp,dims exp,0.0016103575141553778,hurts
sum_l3_efg,team form/efficiency,0.001636505654443593,hurts
raw_tov_s2d_sum_alwd,possession raw,0.0016385315277830381,hurts
dm_exp_h_exp,dims exp,0.0016705642282227873,hurts
d_s_d_p3a_rate,other,0.0016937236355372004,hurts
a_s_p3a_rate,other,0.0017004658239156978,hurts
d_l3_adv_rot_n,usage concentration,0.0017020702400472737,hurts
sum_s2d_opp_score,other,0.0017181223148990954,hurts
d_l10_adv_usg_max,usage concentration,0.0017320743698738816,hurts
h_l5_adv_rot_n,usage concentration,0.0017686409583190232,hurts
net_eff_s2d_d,matchup net,0.0018983204601846076,hurts
a_abs_fresh_max_min,other,0.0019227866582971348,hurts
h_abs_stale_n,other,0.0019268700668576833,hurts
d_abs_fresh_max_min,other,0.0019279114931451957,hurts
net_ftr_s2d_a,matchup net,0.0019350819517589823,hurts
h_s2d_margin,other,0.00195681238387678,hurts
sum_l10_adv_rot_n,usage concentration,0.0019722790763141707,hurts
a_s2d_opp_score,other,0.0019742457330449437,hurts
d_s2d_adv_rot_n,usage concentration,0.0020058812166208195,hurts
raw_ftr_s2d_d_alwd,possession raw,0.00201148535157665,hurts
a_s_d_ftr,team form/efficiency,0.0020156321595573012,hurts
h_sched_rest,other,0.0020719474318789816,hurts
a_s_oreb_pg,team form/efficiency,0.0021197704029006503,hurts
h_l3_efg,team form/efficiency,0.0021873402300804784,hurts
sum_abs_fresh_sum_ppg,other,0.002251591030262068,hurts
h_form_p3_pct,other,0.002340587754001075,hurts
sum_s2d_adv_usg_max,usage concentration,0.0024037785026393005,hurts
a_s2d_ortg,team form/efficiency,0.002406775418264895,hurts
raw_trate_l10_sum_off,possession raw,0.0024289964152998944,hurts
adj_own_poss_sum_def,adj own levels,0.0024405481744918245,hurts
sum_l5_min_hhi,usage concentration,0.0024614409412520993,hurts
net_eff_l5_sum,matchup net,0.002530695969877206,hurts
net_ftr_s2d_d,matchup net,0.0025853989587595744,hurts
sum_s_d_to_forced,other,0.0026068837068426998,hurts
a_l5_min_hhi,usage concentration,0.0027409394608424176,hurts
raw_trate_s2d_sum_alwd,possession raw,0.0027500365597253607,hurts
a_l10_min_hhi,usage concentration,0.0027619873345658685,hurts
sum_sched_g_last7,team form/efficiency,0.0028229964295640037,hurts
sum_abs_ret_max_ppg,other,0.0029123901787872497,hurts
a_abs_stale_sum_ppg,other,0.002926637387061129,hurts
h_s2d_ortg,team form/efficiency,0.0029336525043270334,hurts
h_s2d_adv_usage_percentage,usage concentration,0.0029344635952351372,hurts
raw_eff_s2d_sum_off,possession raw,0.003721681931650858,hurts
a_abs_ret_max_ppg,other,0.0038038334696026133,hurts
raw_ftr_s2d_sum_alwd,possession raw,0.003993084186517282,hurts
sum_l10_top_min_share,usage concentration,0.004615050773654747,hurts
h_s_d_p3a_rate,other,0.005404491075304663,hurts
a_l10_top_min_share,usage concentration,0.00551659053968262,hurts
