feature,family,delta,verdict
d_l3_efg,team form/efficiency,0.0012303856464637025,hurts
raw_efg_l10_sum_alwd,possession raw,0.0012607331550171497,hurts
sum_s_ftr,team form/efficiency,0.0012614317553497493,hurts
adj_own_poss_d_def,adj own levels,0.0012646529965304378,hurts
net_oreb_s2d_h,matchup net,0.00127028883884505,hurts
d_s2d_pts_hhi,usage concentration,0.001276625796813485,hurts
h_l3_adv_usg_max,usage concentration,0.001278401995114451,hurts
d_l3_total,other,0.0012868154103375493,hurts
d_s2d_opp_score,other,0.0013021297193127898,hurts
sum_form_adv_pace,team form/efficiency,0.001327212327301621,hurts
sum_s_p3_share,other,0.0013280359899641775,hurts
d_form_h1_tot_share,other,0.0013280867637563876,hurts
h_s2d_efg,team form/efficiency,0.0013407680323553493,hurts
sum_form_h1_tot_share,other,0.0013502680767932917,hurts
sum_l5_adv_rot_n,usage concentration,0.0013576828897250612,hurts
h_l3_total,other,0.00135939518290275,hurts
sum_s_to_rate,other,0.0013621420309266135,hurts
raw_ftr_s2d_sum_alwd,possession raw,0.001379520595132419,hurts
d_l5_min_hhi,usage concentration,0.001401407884569477,hurts
raw_ftr_l10_d_off,possession raw,0.0014034337410843071,hurts
h_abs_stale_sum_min,other,0.001412194798122361,hurts
raw_oreb_s2d_sum_alwd,possession raw,0.0014210745229037902,hurts
net_eff_l5_sum,matchup net,0.0014220989609707887,hurts
a_abs_ret_n,other,0.0014420304325643602,hurts
d_l5_adv_rot_n,usage concentration,0.001457142429508557,hurts
h_l3_adv_rot_n,usage concentration,0.0014719510460592614,hurts
net_tov_s2d_a,matchup net,0.0014760006643981605,hurts
h_sched_rest2,other,0.0014896534138708912,hurts
net_ftr_s2d_h,matchup net,0.0014908290434857176,hurts
adj_own_oreb_pct_sum_def,adj own levels,0.0014927415739074672,hurts
d_l5_own_score,other,0.001516999721409245,hurts
h_l5_ortg,team form/efficiency,0.0015615079216004693,hurts
sum_abs_ret_sum_min,other,0.001586690967009443,hurts
sum_l10_adv_pace,team form/efficiency,0.0015965834951775972,hurts
a_l5_margin,other,0.0016010666105492049,hurts
a_abs_fresh_max_min,other,0.0016052958684347161,hurts
net_eff_l5_h,matchup net,0.0016296724358802876,hurts
d_sched_rest,other,0.0016306951803777905,hurts
a_s2d_adv_pace,team form/efficiency,0.001632885682243308,hurts
h_l5_pts_hhi,usage concentration,0.001664936338562805,hurts
a_s_pace,team form/efficiency,0.0016736823683867917,hurts
t60_total_point,other,0.0016928247353354083,hurts
d_s_d_p3_pct,other,0.0016941867924212292,hurts
h_l5_top_min_share,usage concentration,0.0017292360021776356,hurts
adj_own_oreb_pct_d_def,adj own levels,0.0017468600246347411,hurts
h_s2d_pts_hhi,usage concentration,0.0017590933701334063,hurts
net_trate_l10_sum,matchup net,0.001783470979401998,hurts
raw_trate_s2d_d_alwd,possession raw,0.0017879045030308972,hurts
raw_oreb_s2d_d_alwd,possession raw,0.0017919137154421352,hurts
a_form_adv_pace,team form/efficiency,0.0017959997500876677,hurts
raw_tpct_l5_sum_off,possession raw,0.0018196397194293061,hurts
raw_tpct_s2d_sum_off,possession raw,0.0018357000329173733,hurts
d_abs_ret_n,other,0.0018501199920419428,hurts
raw_ftr_s2d_d_off,possession raw,0.0018545984749507175,hurts
a_l3_adv_rot_n,usage concentration,0.0018918598749252035,hurts
d_abs_fresh_sum_min,other,0.0019160939144689747,hurts
raw_tov_l10_sum_alwd,possession raw,0.0019310385903041904,hurts
sum_abs_ret_sum_ppg,other,0.001956176046026244,hurts
raw_trate_l10_sum_off,possession raw,0.0019709563351023363,hurts
h_form3_adv_pace,team form/efficiency,0.0019828052587055715,hurts
d_s_to_rate,other,0.0020291092600267786,hurts
raw_twopct_l10_d_off,possession raw,0.00204453157773222,hurts
adj_own_poss_sum_def,adj own levels,0.0020518391911865173,hurts
adj_own_three_pct_sum_def,adj own levels,0.0020603009798430376,hurts
raw_tpct_l5_d_alwd,possession raw,0.002087056558468446,hurts
adj_net_off_eff_h,adj matchup net,0.0021006706865299087,hurts
raw_trate_l10_d_alwd,possession raw,0.0021069273607317324,hurts
h_s_d_to_forced,other,0.0021560379565262787,hurts
net_eff_l5_a,matchup net,0.0021593969007859992,hurts
net_efg_s2d_h,matchup net,0.002165716136713312,hurts
raw_tov_l5_sum_alwd,possession raw,0.002212430326558965,hurts
adj_own_tov_rate_sum_off,adj own levels,0.0022447995582579616,hurts
h_l5_adv_usage_percentage,usage concentration,0.0022849126073550023,hurts
net_twopct_l10_d,matchup net,0.0022855908866558083,hurts
h_abs_fresh_sum_ppg,other,0.0022956154183363577,hurts
a_l3_adv_usage_percentage,usage concentration,0.002299722413730258,hurts
adj_own_ftr_d_def,adj own levels,0.0023011040367823888,hurts
a_s_p3_share,other,0.002332473920327327,hurts
a_s2d_margin,other,0.0023413506249377863,hurts
raw_twopct_l5_sum_alwd,possession raw,0.0023790938605776435,hurts
raw_eff_l10_sum_alwd,possession raw,0.0023823623603033035,hurts
net_trate_l10_h,matchup net,0.002406545822658073,hurts
d_s2d_margin,other,0.002431390345792159,hurts
sum_sched_rest2,other,0.00245914584105595,hurts
raw_efg_l5_d_off,possession raw,0.002483512830886234,hurts
st_gap,structural,0.002502572468473528,hurts
sum_abs_fresh_max_min,other,0.002588858587830217,hurts
net_efg_l10_h,matchup net,0.0026105199134535293,hurts
a_sched_rest,other,0.002704592894798058,hurts
adj_net_three_pct_a,adj matchup net,0.0027466723242778176,hurts
a_l3_margin,other,0.002774455249027517,hurts
dm_ix_exp_x_fatigue_a,dims interaction,0.003037426825348447,hurts
raw_eff_l10_d_alwd,possession raw,0.0030484281488133676,hurts
net_efg_l10_sum,matchup net,0.003058236735721114,hurts
raw_oreb_s2d_d_off,possession raw,0.003126511139136612,hurts
d_l10_top_min_share,usage concentration,0.0031768223748583294,hurts
raw_efg_s2d_d_alwd,possession raw,0.003187659527830295,hurts
raw_twopct_l5_sum_off,possession raw,0.00326018515005623,hurts
a_form3_adv_pace,team form/efficiency,0.003368607049060869,hurts
raw_efg_l5_d_alwd,possession raw,0.0034215482454907267,hurts
a_l10_top_min_share,usage concentration,0.003541727783815396,hurts
d_s_d_to_forced,other,0.003552708244544919,hurts
h_l10_total,other,0.003690226388596508,hurts
a_l3_opp_score,other,0.0038419336472564373,hurts
raw_efg_s2d_sum_off,possession raw,0.004126705544912432,hurts
sum_form3_adv_pace,team form/efficiency,0.004175643592687965,hurts
st_poss,structural,0.004188441610067797,hurts
h_l10_adv_pace,team form/efficiency,0.0045371042430355476,hurts
raw_eff_l10_d_off,possession raw,0.004557120168457952,hurts
raw_tpct_s2d_sum_alwd,possession raw,0.005006967264342194,hurts
d_l5_pts_hhi,usage concentration,0.005107438824837271,hurts
raw_twopct_l10_d_alwd,possession raw,0.00540338232745586,hurts
a_l3_top_min_share,usage concentration,0.005727338016993399,hurts
raw_eff_l5_sum_alwd,possession raw,0.006022707283308363,hurts
raw_efg_l10_d_alwd,possession raw,0.009696484909355893,hurts
