season,game_id,team,implied,anch_edge,fund_edge,tt_under,tt_over,pts,bet,homeTeam,awayTeam
2025,401752810,Akron,6.875,6.47656110790628,12.198793021504358,0,1,0.0,OVER,Nebraska,Akron
2025,401752695,Vanderbilt,21.75,5.996077571506493,6.233655034164347,0,1,44.0,OVER,Virginia Tech,Vanderbilt
2025,401752814,Georgia Southern,16.625,-3.759597286776426,-3.8893819271582917,1,0,20.0,UNDER,USC,Georgia Southern
2025,401752683,Auburn,47.625,-6.668515541176369,-8.24527086494949,1,0,42.0,UNDER,Auburn,Ball State
2025,401752683,Ball State,4.875,8.602130915513733,10.153309214948578,0,1,3.0,OVER,Auburn,Ball State
2025,401752687,LSU,43.0,-8.562473234642802,-11.243542832399356,1,0,23.0,UNDER,LSU,Louisiana Tech
2025,401752681,Alabama,42.25,-3.5062732050734553,-3.17751776279448,1,0,73.0,UNDER,Alabama,UL Monroe
2025,401752681,UL Monroe,8.0,4.857201897595337,8.284476680713386,0,1,0.0,OVER,Alabama,UL Monroe
2025,401752823,UNLV,26.0,5.964379777208521,9.322753881754608,0,1,30.0,OVER,UNLV,UCLA
2025,401752823,UCLA,28.5,-8.011993662456234,-8.294828414985329,1,0,23.0,UNDER,UNLV,UCLA
2025,401757230,Sam Houston,20.375,1.396368651862094,6.916973296669607,0,1,20.0,OVER,Hawai'i,Sam Houston
2025,401756888,Kansas State,28.5,-5.181195186558295,-5.294173173126705,1,0,17.0,UNDER,Arizona,Kansas State
2025,401752703,Oklahoma,37.25,-5.390643936469104,-1.38599406248035,1,0,42.0,UNDER,Temple,Oklahoma
2025,401762817,Buffalo,36.25,-6.3247010694537735,-8.557409409470711,1,0,31.0,UNDER,Kent State,Buffalo
2025,401752839,Central Michigan,7.5,4.801006190946511,7.47037015269631,0,1,3.0,OVER,Michigan,Central Michigan
2025,401752697,South Alabama,14.75,2.4457099710100394,7.161558635342907,0,1,15.0,OVER,Auburn,South Alabama
2025,401752702,Louisiana,10.0,2.9619293809339275,6.555945043409693,0,1,10.0,OVER,Missouri,Louisiana
2025,401752938,Texas Tech,42.75,-3.908297010517927,-4.62027516457853,1,0,45.0,UNDER,Texas Tech,Oregon State
2025,401752705,Tennessee,23.5,1.6208030377618314,6.345224646038282,0,1,41.0,OVER,Tennessee,Georgia
2025,401754615,SMU,44.5,-4.29818593375424,-6.812116867659455,1,0,28.0,UNDER,Missouri State,SMU
2025,401754535,Miami,37.0,-5.848231789043883,-6.591260591855296,1,0,49.0,UNDER,Miami,South Florida
2025,401757258,Nevada,29.5,-4.290285109200742,-2.1637495349813776,1,0,13.0,UNDER,Nevada,Middle Tennessee
2025,401757258,Middle Tennessee,20.0,-3.331985784772524,1.274303443829254,1,0,14.0,UNDER,Nevada,Middle Tennessee
2025,401757234,Georgia Southern,30.75,-5.9836898833398,-6.881092910205247,1,0,41.0,UNDER,Georgia Southern,Jacksonville State
2025,401757234,Jacksonville State,27.75,4.707958859340408,8.558794821554379,0,1,34.0,OVER,Georgia Southern,Jacksonville State
2025,401761607,Southern Miss,26.75,-3.9249353364918917,-2.7380245697777355,1,0,38.0,UNDER,Southern Miss,App State
2025,401752700,Ole Miss,32.0,5.26339761664461,6.552093161745738,0,1,41.0,OVER,Ole Miss,Arkansas
2025,401752698,Eastern Michigan,11.5,2.9947300225906925,6.1900888248063275,0,1,23.0,OVER,Kentucky,Eastern Michigan
2025,401752830,Iowa,40.0,-4.672610323311815,-6.623886617285301,1,0,47.0,UNDER,Iowa,Massachusetts
2025,401752830,Massachusetts,4.5,7.300038235246381,10.670326002975091,0,1,7.0,OVER,Iowa,Massachusetts
2025,401752699,LSU,26.25,-3.8418736249772536,-3.6545840499883298,1,0,20.0,UNDER,LSU,Florida
2025,401756895,Wyoming,11.5,4.027492364559064,6.773428668273777,0,1,6.0,OVER,Wyoming,Utah
2025,401756889,Arizona State,40.0,-5.731209044734477,-6.332119022900656,1,0,34.0,UNDER,Arizona State,Texas State
2025,401756889,Texas State,21.5,-4.0568366360399715,0.28604617412149835,1,0,15.0,UNDER,Arizona State,Texas State
