pick_id,season,week,game,rule,market,side,bet_home,open_num,close_num,edge,confluence,reg_edge,away_ab,home_ab,actual_margin,actual_total,win,clv_pts,roi_u
2023-W07-MIA@PHI-DKJ,2023,7,MIA@PHI,dk_heavy_home_juice,spread,PHI -2.5,1,-2.5,-3.0,120.0,,,MIA,PHI,14,48,1.0,0.5,0.9090909090909091
2023-W07-MIA@PHI-PTF,2023,7,MIA@PHI,primetime_tight_favorite,spread,PHI -2.5,1,-2.5,-3.0,2.5,,,MIA,PHI,14,48,1.0,0.5,0.9090909090909091
2023-W07-MIA@PHI-PTU,2023,7,MIA@PHI,primetime_tight_under,total,UNDER 53.5,-2,53.5,52.0,53.5,,,MIA,PHI,14,48,1.0,1.5,0.9090909090909091
2023-W07-MIA@PHI-TTH,2023,7,MIA@PHI,top_vs_top_pt_home,spread,PHI -2.5,1,-2.5,-3.0,0.0,,,MIA,PHI,14,48,1.0,0.5,0.9090909090909091
2023-W07-ARI@SEA-S,2023,7,ARI@SEA,sides_model,spread,ARI +7,0,-7.0,-9.0,-0.071,0.0,2.65,ARI,SEA,10,30,0.0,-2.0,-1.0
2023-W07-ATL@TB-S,2023,7,ATL@TB,sides_model,spread,ATL +2.5,0,-2.5,-3.0,-0.178,0.0,3.33,ATL,TB,-3,29,1.0,-0.5,0.9090909090909091
2023-W07-ATL@TB-BBU,2023,7,ATL@TB,bot_vs_bot_under,total,UNDER 40.5,-2,40.5,37.5,40.5,,,ATL,TB,-3,29,1.0,3.0,0.9090909090909091
2023-W08-BAL@ARI-S,2023,8,BAL@ARI,sides_model,spread,BAL -7.5,0,7.5,9.5,-0.209,1.0,-9.05,BAL,ARI,-7,55,0.0,2.0,-1.0
2023-W08-TB@BUF-S,2023,8,TB@BUF,sides_model,spread,TB +8.5,0,-8.5,-10.0,-0.133,0.0,0.08,TB,BUF,6,42,1.0,-1.5,0.9090909090909091
2023-W08-HOU@CAR-S,2023,8,HOU@CAR,sides_model,spread,HOU -3,0,3.0,3.5,-0.171,1.0,-6.11,HOU,CAR,2,28,0.0,0.5,-1.0
2023-W08-LAR@DAL-S,2023,8,LAR@DAL,sides_model,spread,LAR +6,0,-6.0,-7.0,-0.049,0.0,-1.0,LAR,DAL,23,63,0.0,-1.0,-1.0
2023-W08-KC@DEN-S,2023,8,KC@DEN,sides_model,spread,DEN +8.5,1,8.5,7.0,0.085,0.0,-1.81,KC,DEN,15,33,1.0,1.5,0.9090909090909091
2023-W08-LV@DET-S,2023,8,LV@DET,sides_model,spread,LV +7.5,0,-7.5,-7.0,-0.11,1.0,-4.58,LV,DET,12,40,0.0,0.5,-1.0
2023-W08-MIN@GB-S,2023,8,MIN@GB,sides_model,spread,GB -1.5,1,-1.5,1.0,0.034,0.0,0.71,MIN,GB,-14,34,0.0,-2.5,-1.0
2023-W08-MIN@GB-FPR,2023,8,MIN@GB,fade_pr_in_tight_game,spread,GB -1.5,1,-1.5,1.0,3.6,,,MIN,GB,-14,34,0.0,-2.5,-1.0
2023-W08-NO@IND-S,2023,8,NO@IND,sides_model,spread,NO -1.5,0,1.5,2.0,-0.069,0.0,-1.39,NO,IND,-11,65,1.0,0.5,0.9090909090909091
2023-W08-NO@IND-HLU,2023,8,NO@IND,total_high_line_under,total,UNDER 40.5,-2,40.5,43.5,10.33,,,NO,IND,-11,65,0.0,-3.0,-1.0
2023-W08-CHI@LAC-S,2023,8,CHI@LAC,sides_model,spread,LAC -9.75,1,-9.75,-9.5,0.127,1.0,6.07,CHI,LAC,17,43,1.0,-0.25,0.9090909090909091
2023-W08-NE@MIA-S,2023,8,NE@MIA,sides_model,spread,NE +12.5,0,-12.5,-8.0,-0.101,1.0,-4.79,NE,MIA,14,48,0.0,4.5,-1.0
2023-W08-NE@MIA-U,2023,8,NE@MIA,wind_under,total,UNDER 46.75,-2,46.75,46.5,19.6,,,NE,MIA,14,48,0.0,0.25,-1.0
2023-W08-NYJ@NYG-S,2023,8,NYJ@NYG,sides_model,spread,NYG +3,1,3.0,3.0,0.196,0.0,1.08,NYJ,NYG,-3,23,,0.0,0.0
2023-W08-JAX@PIT-S,2023,8,JAX@PIT,sides_model,spread,JAX -1.5,0,1.5,2.5,-0.094,1.0,-7.93,JAX,PIT,-10,30,1.0,1.0,0.9090909090909091
2023-W08-JAX@PIT-FPR,2023,8,JAX@PIT,fade_pr_in_tight_game,spread,PIT +1.5,1,1.5,2.5,4.1,,,JAX,PIT,-10,30,0.0,-1.0,-1.0
2023-W08-CIN@SF-S,2023,8,CIN@SF,sides_model,spread,SF -6,1,-6.0,-4.0,0.031,0.0,0.68,CIN,SF,-14,48,0.0,-2.0,-1.0
2023-W08-CLE@SEA-S,2023,8,CLE@SEA,sides_model,spread,CLE +2,0,-2.0,-4.0,-0.2,1.0,-3.66,CLE,SEA,4,44,0.0,-2.0,-1.0
2023-W08-PHI@WAS-S,2023,8,PHI@WAS,sides_model,spread,PHI -6,0,6.0,7.0,-0.079,1.0,-6.72,PHI,WAS,-7,69,1.0,1.0,0.9090909090909091
